0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Sanitation,,,,,,
Personal Services,"84,026,833","96,254,427","4,797,972","101,052,399","6,082,272","107,134,671"
Purchase of Services,"4,002,932","2,796,616",0,"2,796,616","1,025,000","3,821,616"
"Materials, Supplies & Equip.","50,563,602","8,437,104",0,"8,437,104","(2,670,472)","5,766,632"
"Contrib., Indemnities & Taxes","8,757,927","53,171",0,"53,171",0,"53,171"
Total,"147,351,294","107,541,318","4,797,972","112,339,290","4,436,800","116,776,090"
Sheriff,,,,,,
Personal Services,"29,119,333","31,732,741","201,007","31,933,748","(383,148)","31,550,600"
Purchase of Services,"2,760,424","2,647,080","300,000","2,947,080","(300,000)","2,647,080"
"Materials, Supplies & Equip.","949,663","1,287,133","(300,000)","987,133","300,000","1,287,133"
"Contrib., Indemnities & Taxes","51,643",0,0,0,0,0
Total,"32,881,063","35,666,954","201,007","35,867,961","(383,148)","35,484,813"
Sinking Fund Commission (Debt Service),,,,,,
Purchase of Services,"105,287,151","120,860,169",0,"120,860,169","52,416,815","173,276,984"
Debt Service,"189,137,695","234,667,304","(14,250,000)","220,417,304","11,078,182","231,495,486"
Total,"294,424,846","355,527,473","(14,250,000)","341,277,473","63,494,997","404,772,470"
,,,,,,
"Total, General Fund","6,134,734,538","6,367,483,000","201,389,061","6,568,872,061","273,686,939","6,842,559,000"
