0,1,2,3,4,5,6
Department/Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
Office of Arts and Culture and,,,,,,
the Creative Economy,,,,,,
Personal Services,0,"714,833",0,"714,833",0,"714,833"
Purchase of Services,0,"130,768",0,"130,768","250,000","380,768"
"Contrib., Indemnities & Taxes",0,"9,980,000","2,600,000","12,580,000","(8,280,000)","4,300,000"
Total,0,"10,825,601","2,600,000","13,425,601","(8,030,000)","5,395,601"
Office of Community,,,,,,
Empowerment and Opportunity,,,,,,
Personal Services,"827,609","3,511,054","39,313","3,550,367","(1,964,000)","1,586,367"
Purchase of Services,"1,829,564","1,886,857","115,524","2,002,381","1,175,976","3,178,357"
"Materials, Supplies & Equip.","8,869","515,998","(115,524)","400,474","(384,476)","15,998"
"Contrib., Indemnities & Taxes",752,0,0,0,0,0
Total,"2,666,794","5,913,909","39,313","5,953,222","(1,172,500)","4,780,722"
Office of Education,,,,,,
Personal Services,"481,098","949,098","21,768","970,866","3,431,238","4,402,104"
Purchase of Services,0,0,0,0,"4,673,399","4,673,399"
"Materials, Supplies & Equip.",0,0,0,0,"134,937","134,937"
Total,"481,098","949,098","21,768","970,866","8,239,574","9,210,440"
Office of Homeless Services,,,,,,
Personal Services,"9,669,719","10,635,985","529,489","11,165,474","250,011","11,415,485"
Purchase of Services,"72,101,011","77,701,846",0,"77,701,846","(5,305,841)","72,396,005"
"Materials, Supplies & Equip.","279,831","344,127",0,"344,127",0,"344,127"
"Contrib., Indemnities & Taxes","12,292","32,421",0,"32,421",0,"32,421"
Total,"82,062,853","88,714,379","529,489","89,243,868","(5,055,830)","84,188,038"
Office of Human Resources,,,,,,
Personal Services,"6,325,180","6,730,282","314,804","7,045,086","385,364","7,430,450"
Purchase of Services,"7,669,273","3,572,871","350,000","3,922,871","5,230,000","9,152,871"
"Materials, Supplies & Equip.","38,605","72,903",0,"72,903",0,"72,903"
Total,"14,033,058","10,376,056","664,804","11,040,860","5,615,364","16,656,224"
Office of Innovation and Technology,,,,,,
Personal Services,"31,154,241","31,895,120","1,524,149","33,419,269","688,456","34,107,725"
Purchase of Services,"55,162,202","65,947,989",0,"65,947,989","7,252,966","73,200,955"
"Materials, Supplies & Equip.","5,569,892","9,779,123","3,399,733","13,178,856","(2,045,254)","11,133,602"
"Contrib., Indemnities & Taxes","2,721",0,0,0,0,0
Payments to Other Funds,0,0,"606,451","606,451","(606,451)",0
Total,"91,889,056","107,622,232","5,530,333","113,152,565","5,289,717","118,442,282"
Office of Innovation and Technology-911,,,,,,
Personal Services,"1,449,309","1,728,732",0,"1,728,732","180,000","1,908,732"
Purchase of Services,"11,947,399","18,046,883",0,"18,046,883","2,669,973","20,716,856"
"Materials, Supplies & Equip.","533,972","8,064,399",0,"8,064,399","10,934,247","18,998,646"
Total,"13,930,680","27,840,014",0,"27,840,014","13,784,220","41,624,234"
Office of the Inspector General,,,,,,
Personal Services,"1,743,544","2,463,188","70,869","2,534,057",0,"2,534,057"
Purchase of Services,"124,681","374,695",0,"374,695",0,"374,695"
"Materials, Supplies & Equip.","6,856","8,665",0,"8,665",0,"8,665"
Total,"1,875,081","2,846,548","70,869","2,917,417",0,"2,917,417"
Office of Property Assessment,,,,,,
Personal Services,"13,645,565","16,021,562","794,369","16,815,931","(197,182)","16,618,749"
Purchase of Services,"1,613,162","1,926,020",0,"1,926,020","1,060,000","2,986,020"
"Materials, Supplies & Equip.","138,679","362,600",0,"362,600",0,"362,600"
Total,"15,397,406","18,310,182","794,369","19,104,551","862,818","19,967,369"
Office of Public Safety (1),,,,,,
Personal Services,0,0,0,0,"9,305,263","9,305,263"
Purchase of Services,0,0,0,0,"57,049,103","57,049,103"
"Materials, Supplies & Equip.",0,0,0,0,"318,880","318,880"
Total,0,0,0,0,"66,673,246","66,673,246"
