0,1,2,3,4,5,6,7
Department / Agency,Fiscal Year 2025 Actual Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2026 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2027 Proposed Budget
Art Museum,,,,,,,
"Contrib., Indemnities & Taxes","2,642,000","(300,000)","2,342,000",0,"2,342,000","(200,000)","2,142,000"
Total,"2,642,000","(300,000)","2,342,000",0,"2,342,000","(200,000)","2,142,000"
Auditing (City Controller),,,,,,,
Personal Services,"10,855,618","151,943","11,007,561","370,003","11,377,564","265,903","11,643,467"
Purchase of Services,"814,783","(106,210)","708,573",0,"708,573","(100,000)","608,573"
"Materials, Supplies & Equip.","37,800","2,200","40,000",0,"40,000",0,"40,000"
Total,"11,708,201","47,933","11,756,134","370,003","12,126,137","165,903","12,292,040"
Board of Ethics,,,,,,,
Personal Services,"1,239,258","127,785","1,367,043","18,810","1,385,853","66,144","1,451,997"
Purchase of Services,"42,877","9,623","52,500",0,"52,500",0,"52,500"
"Materials, Supplies & Equip.","1,985","5,515","7,500",0,"7,500",0,"7,500"
Total,"1,284,120","142,923","1,427,043","18,810","1,445,853","66,144","1,511,997"
Board of Revision of Taxes,,,,,,,
Personal Services,"1,164,238",(20),"1,164,218","28,585","1,192,803","(11,929)","1,180,874"
Purchase of Services,"69,850",831,"70,681","10,000","80,681","(28,000)","52,681"
"Materials, Supplies & Equip.","12,308","5,419","17,727",0,"17,727",0,"17,727"
Total,"1,246,396","6,230","1,252,626","38,585","1,291,211","(39,929)","1,251,282"
Citizens Police Oversight Commission (1),,,,,,,
Personal Services,0,"2,656,030","2,656,030","(4,664)","2,651,366","10,255","2,661,621"
Purchase of Services,0,"438,002","438,002",0,"438,002",0,"438,002"
"Materials, Supplies & Equip.",0,"12,000","12,000","30,000","42,000",0,"42,000"
Total,0,"3,106,032","3,106,032","25,336","3,131,368","10,255","3,141,623"
City Commissioners,,,,,,,
Personal Services,"14,089,613","(1,899,369)","12,190,244","547,747","12,737,991","93,533","12,831,524"
Purchase of Services,"18,121,641","(4,381,540)","13,740,101","367,234","14,107,335","(367,234)","13,740,101"
"Materials, Supplies & Equip.","4,890,868","(1,707,135)","3,183,733","2,099,059","5,282,792","(2,116,259)","3,166,533"
"Contrib., Indemnities & Taxes","1,000","(1,000)",0,0,0,0,0
Total,"37,103,122","(7,989,044)","29,114,078","3,014,040","32,128,118","(2,389,960)","29,738,158"
City Council,,,,,,,
Personal Services,"18,235,179","3,033,313","21,268,492","222,801","21,491,293","74,267","21,565,560"
Purchase of Services,"4,027,852","345,127","4,372,979",0,"4,372,979",0,"4,372,979"
"Materials, Supplies & Equip.","737,771","79,811","817,582",0,"817,582",0,"817,582"
"Contrib., Indemnities & Taxes",0,100,100,0,100,0,100
Payments to Other Funds,0,100,100,0,100,0,100
Advances and Other Misc. Payments,0,100,100,0,100,0,100
Total,"23,000,802","3,458,551","26,459,353","222,801","26,682,154","74,267","26,756,421"
City Representative (2),,,,,,,
Personal Services,0,"1,794,682","1,794,682","68,544","1,863,226","205,266","2,068,492"
Purchase of Services,0,"1,252,500","1,252,500",0,"1,252,500","(50,000)","1,202,500"
"Materials, Supplies & Equip.",0,"195,000","195,000",0,"195,000","(25,000)","170,000"
Total,0,"3,242,182","3,242,182","68,544","3,310,726","130,266","3,440,992"
City Treasurer,,,,,,,
Personal Services,"1,879,805","86,367","1,966,172","54,459","2,020,631","18,092","2,038,723"
Purchase of Services,"1,623,408","1,728,495","3,351,903",0,"3,351,903","(50,000)","3,301,903"
"Materials, Supplies & Equip.","18,122","25,602","43,724",0,"43,724",0,"43,724"
Total,"3,521,335","1,840,464","5,361,799","54,459","5,416,258","(31,908)","5,384,350"
Civil Service Commission,,,,,,,
Personal Services,"163,334","25,091","188,425","5,311","193,736","2,526","196,262"
Purchase of Services,"29,500",0,"29,500",0,"29,500",0,"29,500"
"Materials, Supplies & Equip.",0,"1,094","1,094",0,"1,094",0,"1,094"
Advances and Other Misc. Payments,0,"101,577,000","101,577,000","(86,069,000)","15,508,000","23,801,000","39,309,000"
Total,"192,834","101,603,185","101,796,019","(86,063,689)","15,732,330","23,803,526","39,535,856"
