0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,11.1,10.5,7.8,8.1,6.4,40.6,47.9,92.5,532.6,142.1,18.7,11.6,930.1,,,930.1
"City, PICA Wage, Earnings, NP",246.2,181.0,201.9,265.5,196.6,212.3,276.1,205.8,232.5,281.5,214.4,194.3,"2,708.0",,,2708.0
Realty Transfer Tax,28.2,25.9,39.7,"24,7",28.1,25.6,22.2,18.3,28.2,"24,5",25.8,24.2,315.4,,,315.4
Sales Tax,34.6,"37,9",15.6,17.3,"18,9",17.6,16.8,20.5,19.4,33.2,36.9,36.9,305.6,1.8,,307.4
Business Income & Receipts Tax,14.5,9.4,"44,6",34.5,1.1,"47,5","22,6",6.3,"62,4",281.8,69.0,23.0,616.7,,,616.7
Beverage Tax,6.5,5.8,"5,6",5.9,4.4,5.3,7.7,4.8,4.8,5.5,5.3,5.5,67.1,(1.3),,"65,7"
Other Taxes,4.2,4.5,9.8,3.4,"3,6",3.4,3.8,4.1,3.9,4.4,3.5,4.0,52.6,,,"52,6"
Locally Generated Non-tax,41.8,37.5,40.8,26.1,"44,7","24,4",25.3,26.4,29.6,26.0,"34,7",27.8,385.1,,,385.1
"Total Other Governments, Excluding PICA Tax",5.9,7.0,175.4,87.8,9.2,14.1,18.6,15.3,0.8,16.6,22.6,28.8,402.1,2.9,,405.0
Total PICA Other Governments,57.2,48.6,72.2,53.8,51.5,68.8,72.6,49.6,51.1,79.6,78.6,50.6,734.2,(1.7),,732.5
Interfund Transfers,419.5,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,25.9,445.3,,35.9,481.2
Total Current Revenue,"802,4",319.1,557.9,454.9,311.5,402.4,439.1,390.2,903.7,816.1,451.8,380.5,"6,229.6",1.7,"35,9",6267.2
Collection of prior year(s) revenue Other fund balance adjustments,0.1,13.3,"0,0",29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",43.0,,,
TOTAL CASH RECEIPTS,802.5,332.3,557.9,484.4,311.5,402.4,439.1,390.2,"903,7",816.1,451.8,380.5,"6,272.5",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,128.5,181.8,164.0,162.9,239.0,162.1,189.7,"184,9",185.8,185.8,261.6,191.3,"2,237.5",86.6,4.4,
Employee Benefits,87.3,57.5,62.4,62.8,67.0,55.1,81.3,64.4,"64,7","64,7",70.9,66.8,804.7,"33,4","0,5",
Pension,0.1,(5.5),9.4,97.5,(7.5),(4.1),(6.0),(5.2),663.1,(4.6),(4.4),(13.6),719.3,98.5,,
Purchase of Services,25.1,"53,7",104.2,117.8,168.6,"84,7",112.5,"94,4","137,7",125.3,139.0,98.3,"1,261.4",39.0,185.5,
"Materials, Equipment",4.0,7.7,4.8,10.6,7.5,9.7,5.6,"21,7","23,9",26.6,25.8,26.1,173.9,3.0,35.3,
"Contributions, Indemnities",9.8,93.1,29.8,3.7,95.8,4.1,4.0,26.2,84.1,18.0,14.2,85.0,467.8,,,
Debt Service-Short Term,0.1,0.0,0.0,0.1,0.0,"0,0",0.1,"0,0",0.0,"0,0",0.0,3.0,3.3,,,
Debt Service-Long Term,127.3,0.0,0.0,6.1,0.0,2.4,35.2,37.2,4.1,0.3,15.9,2.8,231.4,,,
Interfund Charges,0.4,0.0,90.6,0.0,0.0,0.0,"0,0","0,0",0.0,8.6,0.0,1.9,101.5,36.9,,
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",27.7,"27,7","27,7","27,7","27,7",138.3,,,
Current Year Appropriation,"382,6",388.3,465.1,461.6,570.4,"314,0",422.4,451.3,"1,191.1","452,4",550.6,489.3,"6,139.2",297.4,225.7,
Prior Yr. Expenditures against Encumbrances,78.6,59.0,46.2,30.2,27.1,"18,7",11.8,18.2,14.7,7.9,"5,4",6.0,324.0,,,
Prior Yr. Salaries & Vouchers Payable,"97,7",34.3,(38.3),51.8,(75.4),54.1,2.1,0.0,0.0,0.0,"0,0","0,0",126.2,,,
TOTAL DISBURSEMENTS,558.8,481.6,473.1,543.6,522.1,386.8,436.3,469.6,"1,205.9",460.3,556.1,495.2,"6,589.4",,,
Excess (Def) of Receipts over Disbursements,"243,7",(149.3),84.8,(59.2),(210.6),15.6,2.8,(79.4),(302.1),355.9,(104.3),(114.8),,,,
Opening Balance,"2,007.8","2,251.5","2,102.2","2,187.1","2,127.9","1,917.3","1,932.9","1,935.7","1,856.3","1,554.1","1,910.0","1,805.7",,,,
TRAN,0.0,"0,0","0,0",0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,0.0,,,,
CLOSING BALANCE,"2,251.5","2,102.2","2,187.1","2,127.9","1,917.3","1,932.9","1,935.7","1,856.3","1,554.1","1,910.0","1,805.7","1,691.0",,,,
