0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,"2,251.5","2,102.2","2,187.1","2,127.9","1,917.3","1,932.9","1,935.7","1,856.3","1,554.1","1,910.0","1,805.7","1,691.0"
Grants Revenue,(91.5),3.8,(4.7),(25.3),(106.8),(140.0),(40.4),161.4,121.4,246.4,193.0,125.9
Community Development,0.1,12.4,8.3,10.0,(14.4),(17.3),(20.0),(5.5),(6.6),(1.0),(1.2),0.0
Vehicle Rental Tax,9.2,10.0,3.8,4.5,5.2,5.8,6.4,6.9,7.4,7.7,8.1,8.6
Hospital Assessment Fund,20.0,19.4,14.4,13.5,24.6,66.5,23.6,20.6,34.6,22.5,47.5,29.8
Housing Trust Fund,104.7,99.6,131.1,129.8,123.3,121.8,119.1,119.7,117.6,115.5,113.4,111.3
Transportation Fund,29.6,31.0,35.8,38.2,43.8,15.5,16.8,19.8,22.8,25.8,28.8,15.8
Budget Stabilization Fund,112.8,112.8,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,176.1
Other Funds,19.0,16.8,17.4,16.5,15.5,15.1,14.9,15.7,15.6,15.4,15.3,15.1
TOTAL OPERATING FUNDS,"2,455.4","2,408.0","2,564.3","2,486.2","2,179.6","2,171.5","2,227.1","2,365.9","2,037.9","2,513.4","2,381.7","2,173.6"
Capital Improvement,287.5,259.7,234.7,226.5,162.0,130.4,101.8,86.8,71.8,65.4,50.4,35.4
Industrial & Commercial Dev.,11.1,11.2,11.2,11.2,11.3,11.4,11.4,11.4,11.4,11.4,11.5,11.5
TOTAL CAPITAL FUNDS,298.6,270.8,245.9,237.8,173.3,141.7,113.2,98.2,83.2,76.9,61.9,46.9
TOTAL FUND EQUITY,"2,754.0","2,678.9","2,810.1","2,724.0","2,352.9","2,313.2","2,340.3","2,464.1","2,121.1","2,590.3","2,443.6","2,220.6"
