0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"38,917,404","17,446,599","17,446,599",0,"44,257,829","44,176,201","44,176,201","81,628",0
L&I-Board of Building Standards,"83,357","45,537","45,537",0,"86,609","86,609","86,609",0,0
L&I-Board of L & | Review,"180,203","108,013","108,013",0,"182,543","182,543","182,543",0,0
Managing Director-Base,"110,083,074","97,857,787","97,857,787",0,"187,205,603","189,831,965","189,831,965","(2,626,362)",0
Managing Director-Citizens Police Oversight Commission,"1,390,833","489,136","489,136",0,"3,023,642","3,023,642","3,023,642",0,0
Managing Director-Defender Association,"54,283,600","61,997,780","61,997,780",0,"61,997,780","63,997,780","63,997,780","(2,000,000)",0
Mayor's Office,"6,756,501","2,763,794","2,763,794",0,"6,067,744","8,167,744","8,167,744","(2,100,000)",0
Mayor's Office-Scholarships,"76,000","30,000","30,000",0,"100,000","100,000","100,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"1,704,202","1,919,864","1,919,864",0,"3,449,909","3,449,909","3,449,909",0,0
Mural Arts Program,"3,198,517","3,268,461","3,268,461",0,"3,683,320","3,683,320","3,683,320",0,0
Office of Behavioral HIth & Intellectual disAbility,"27,986,417","24,287,038","24,287,038",0,"29,024,448","29,024,448","29,024,448",0,0
Office of the Chief Administrative Officer,"13,745,419","8,964,207","8,964,207",0,"18,420,959","19,036,819","19,036,819","(615,860)",0
Office of Children and Families,"502,591","278,078","278,078",0,"481,098","481,098","481,098",0,0
Office of Homeless Services,"78,342,285","78,085,426","78,085,426",0,"80,556,703","96,656,703","91,564,048","(11,007,345)","5,092,655"
Office of Human Resources,"7,658,194","4,032,411","4,032,411",0,"12,710,756","13,594,756","13,594,756","(884,000)",0
Office of Innovation and Technology-Base,"88,523,703","58,494,307","58,494,307",0,"96,415,805","97,015,805","97,015,805","(600,000)",0
Office of Innovation and Technology-911,"18,572,354","7,521,872","7,521,872",0,"31,855,521","31,855,521","31,855,521",0,0
Office of the Inspector General,"1,625,270","997,020","997,020",0,"2,346,548","2,346,548","2,346,548",0,0
Office of Property Assessment,"15,366,387","7,391,297","7,391,297",0,"18,310,182","18,310,182","18,310,182",0,0
Office of Sustainability,"2,169,160","1,197,890","1,197,890",0,"2,974,885","3,381,513","3,381,513","(406,628)",0
Parks and Recreation,"75,227,124","41,665,291","41,665,291",0,"79,418,097","80,565,097","83,065,097","(3,647,000)","(2,500,000)"
Planning & Development,"34,759,317","26,412,243","26,412,243",0,"35,404,422","35,404,422","35,604,422","(200,000)","(200,000)"
Police,"829,210,826","388,556,689","388,556,689",0,"855,831,761","855,831,761","878,331,761","(22,500,000)","(22,500,000)"
Prisons,"235,170,098","129,758,388","129,758,388",0,"292,774,430","302,768,812","302,768,812","(9,994,382)",0
Procurement,"6,348,981","2,862,041","2,862,041",0,"7,235,722","7,235,722","7,235,722",0,0
Public Health,"132,074,650","79,123,930","79,123,930",0,"148,736,320","153,736,320","153,736,320","(5,000,000)",0
Public Property,"91,356,854","48,278,936","48,278,936",0,"95,659,168","96,719,573","94,713,590","945,578","2,005,983"
Public Property-SEPTA Subsidy,"100,699,000","55,903,500","55,903,500",0,"109,567,000","109,567,000","109,567,000",0,0
Public Property-Space Rentals,"32,123,081","35,812,110","35,812,110",0,"37,448,243","37,598,243","37,598,243","(150,000)",0
Public Property-Utilities,"35,547,994","30,972,444","30,972,444",0,"31,162,103","31,162,103","31,162,103",0,0
Records,"4,113,075","2,333,085","2,333,085",0,"4,564,421","4,843,151","4,843,151","(278,730)",0
Register of Wills,"4,734,032","2,263,583","2,263,583",0,"5,024,798","5,024,798","5,024,798",0,0
Revenue,"25,542,833","12,160,783","12,160,783",0,"28,854,507","28,854,507","28,854,507",0,0
Sheriff,"31,657,866","15,175,060","15,175,060",0,"32,866,448","34,166,448","34,166,448","(1,300,000)",0
Sinking Fund Commission (Debt Service),"292,884,815","198,108,528","198,108,528",0,"324,217,521","324,217,521","324,217,521",0,0
Streets-Disposal,"57,659,801","27,616,194","27,616,194",0,"55,178,274","55,178,274","55,178,274",0,0
Streets,"165,847,017","41,623,364","41,623,364",0,"107,960,310","106,054,246","155,054,246","(47,093,936)","(49,000,000)"
TOTAL GENERAL FUND,"5,918,381,090","2,841,918,087","2,841,918,087",0,"6,195,414,000","6,273,661,852","6,457,413,214","(261,999,214)","(183,751,362)"
