0,1,2,3,4,5,6
Art Museum Subsidy,"2,040,000","2,142,000","2,142,000","2,142,000",0,0
Auditing (City Controller's Office),"9,734,403","11,148,245","11,148,245","11,148,245",0,0
Board of Ethics,"1,008,915","1,382,433","1,382,433","1,382,433",0,0
Board of Revision of Taxes,"1,092,178","1,192,431","1,212,431","1,212,431","(20,000)",0
City Commissioners (Election Board),"28,219,522","29,117,650","29,117,650","29,117,650",0,0
City Council,"17,642,059","19,751,418","23,551,418","23,551,418","(3,800,000)",0
City Treasurer,"4,797,363","5,114,652","5,114,652","5,114,652",0,0
Civil Service Commission,"183,040","13,573,651","11,413,651","11,413,651","2,160,000",0
Commerce,"12,399,056","18,545,558","16,678,618","16,678,618","1,866,940",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"16,720,961","16,334,550","23,114,490","23,114,490","(6,779,940)",0
District Attorney,"50,124,700","51,119,070","54,119,070","54,119,070","(3,000,000)",0
Finance,"198,163,923","52,600,924","126,219,924","123,219,924","(70,619,000)","3,000,000"
Finance-Budget Stabilization Reserve,"65,128,000","42,261,000","42,261,000","42,261,000",0,0
Finance-Disability-Reg #32 Payroll,"4,334,997","5,200,000","5,200,000","5,200,000",0,0
Finance-Recession and Inflation Reserve and Reopening,0,"54,000,000","54,000,000",0,"54,000,000","54,000,000"
Finance-Community College Subsidy,"67,126,386","51,003,181","61,003,181","61,003,181","(10,000,000)",0
Finance Employee Benefits,"1,625,941,393","1,660,996,026","1,625,487,164","1,625,487,164","35,508,862",0
Unemployment Compensation,"1,609,121","4,468,204","4,468,204","4,468,204",0,0
COVID-19 Expense,"22,885",0,0,0,0,0
Employee Disability,"92,323,076","96,192,786","96,192,786","96,192,786",0,0
Pension Obligation Bonds,"114,998,394","135,971,945","133,720,246","133,720,246","2,251,699",0
Pension,"721,874,120","637,483,155","601,622,700","601,622,700","35,860,455",0
Pension-Sales Tax,"92,143,124","93,542,708","96,146,000","90,227,245","3,315,463","5,918,755"
Pension-Plan 10,"668,221","1,192,309","1,192,309","1,192,309",0,0
FICA,"89,055,014","98,247,674","98,247,674","98,247,674",0,0
Flex Cash Payments,"785,843","1,688,628","1,688,628","1,688,628",0,0
Health / Medical,"499,824,327","576,660,058","576,660,058","582,578,813","(5,918,755)","(5,918,755)"
Group Life Insurance,"6,094,612","8,760,382","8,760,382","8,760,382",0,0
Group Legal,"6,386,906","6,438,177","6,438,177","6,438,177",0,0
Tool Allowance,"155,750","350,000","350,000","350,000",0,0
Finance-Hero Scholarship Awards,"24,000","50,000","50,000","50,000",0,0
Finance-Payment to Housing Trust Fund,"29,066,068","30,612,698","30,612,698","30,612,698",0,0
Finance-Indemnities ^,"10,792,504","49,246,000","74,246,000","74,246,000","(25,000,000)",0
Finance-Refunds,"124,150","250,000","750,000","750,000","(500,000)",0
Finance-School District Contribution,"269,953,201","282,052,590","282,052,590","282,052,590",0,0
Finance-Witness Fees,"170,900","180,094","330,094","330,094","(150,000)",0
Fire,"395,726,507","400,794,784","402,090,784","402,090,784","(1,296,000)",0
First Judicial District,"122,480,856","129,052,430","129,152,430","129,152,430","(100,000)",0
Fleet Services,"55,728,850","55,253,706","57,753,706","57,753,706","(2,500,000)",0
Fleet Services Vehicle Purchases,"22,582,373","15,359,245","40,359,245","40,359,245","(25,000,000)",0
Free Library,"50,533,587","70,934,523","70,934,523","70,934,523",0,0
Human Relations Commission,"2,387,906","2,756,401","2,756,401","2,756,401",0,0
Human Services,"184,752,720","219,709,887","219,709,887","219,709,887",0,0
Labor,"3,390,043","4,768,554","5,122,731","5,122,731","(354,177)",0
Law,"24,887,694","28,854,870","31,054,870","31,054,870","(2,200,000)",0
Licenses & Inspections,"38,917,404","44,257,829","45,672,151","45,672,151","(1,414,322)",0
L&I-Board of Building Standards,"83,357","86,609","86,609","86,609",0,0
L&I-Board of L & Review,"180,203","182,543","182,543","182,543",0,0
Managing Director-Base,"110,083,074","187,205,603","188,531,965","173,531,965","13,673,638","15,000,000"
Managing Director-Citizens Police Oversight Commission,"1,390,833","3,023,642","3,023,642","3,023,642",0,0
Managing Director-Defender Association,"54,283,600","61,997,780","63,997,780","63,997,780","(2,000,000)",0
Mayor's Office,"6,756,501","6,067,744","8,167,744","8,167,744","(2,100,000)",0
Mayor's Office-Scholarships,"76,000","100,000","100,000","100,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"1,704,202","3,449,909","3,464,267","3,464,267","(14,358)",0
Mural Arts Program,"3,198,517","3,683,320","4,183,320","4,183,320","(500,000)",0
Office of Behavioral HIth & Intellectual disAbility,"27,986,417","29,024,448","29,024,448","29,024,448",0,0
Office of the Chief Administrative Officer,"13,745,419","18,420,959","19,036,819","19,036,819","(615,860)",0
Office of Children and Families,"502,591","481,098","481,098","481,098",0,0
Office of Homeless Services,"78,342,285","80,556,703","91,564,048","91,564,048","(11,007,345)",0
Office of Human Resources,"7,658,194","12,710,756","14,934,756","14,934,756","(2,224,000)",0
Office of Innovation and Technology-Base,"88,523,703","96,415,805","97,815,805","95,015,805","1,400,000","2,800,000"
Office of Innovation and Technology-911,"18,572,354","31,855,521","31,855,521","31,855,521",0,0
Office of the Inspector General,"1,625,270","2,346,548","2,346,548","2,346,548",0,0
Office of Property Assessment,"15,366,387","18,310,182","18,310,182","18,310,182",0,0
Office of Sustainability,"2,169,160","2,974,885","3,381,513","3,381,513","(406,628)",0
Parks and Recreation,"75,227,124","79,418,097","86,815,097","83,315,097","(3,897,000)","3,500,000"
