0,1,2,3,4,5,6,7,8
,,,,,,FY 2024 FULL YEAR,,
Department / Category,FY 21 Year End,FY 22 Year End,FY 23,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Public Property,,,,,,,,
Full-Time Positions,142,133,119,176,176,125,51,51
Class 100 Total Oblig./Approp.,"9,847,147","10,124,679","10,279,133","12,395,405","12,395,405","12,395,405",0,0
Class 100 Overtime Oblig./Approp.,"195,014","228,450","602,379","729,371","1,379,371","1,354,761","(625,390)","24,610"
Records,,,,,,,,
Full-Time Positions,51,54,53,60,60,55,5,5
Class 100 Total Oblig./Approp.,"2,823,021","3,202,359","3,229,777","3,616,541","3,616,541","3,616,541",0,0
Class 100 Overtime Oblig./Approp.,"65,664","282,392","183,184","83,340","133,340","139,352","(56,012)","(6,012)"
Register of Wills,,,,,,,,
Full-Time Positions,70,67,63,73,73,64,9,9
Class 100 Total Oblig./Approp.,"4,174,663","4,221,694","4,089,933","4,450,243","4,450,243","4,450,243",0,0
Class 100 Overtime Oblig./Approp.,231,"5,641",0,0,700,513,(513),187
Revenue,,,,,,,,
Full-Time Positions,386,328,327,401,401,341,60,60
Class 100 Total Oblig./Approp.,"22,277,095","20,432,060","20,382,438","22,626,664","22,626,664","22,626,664",0,0
Class 100 Overtime Oblig./Approp.,"85,746","339,671","398,174","465,000","465,000","366,163","98,837","98,837"
Sheriff,,,,,,,,
Full-Time Positions,367,343,328,459,459,318,141,141
Class 100 Total Oblig./Approp.,"26,258,562","26,834,747","28,108,343","30,232,235","30,232,235","30,232,235",0,0
Class 100 Overtime Oblig./Approp.,"2,799,955","4,021,949","5,238,972","4,000,000","5,700,000","6,300,220","(2,300,220)","(600,220)"
Streets,,,,,,,,
Full-Time Positions,"1,941","2,072","2,068","1,688","1,688","1,495",193,193
Class 100 Total Oblig./Approp.,"88,868,951","99,660,073","110,599,547","90,005,569","89,659,505","89,659,505","346,064",0
Class 100 Overtime Oblig./Approp.,"16,469,836","17,741,782","16,970,691","11,282,424","16,282,424","17,088,340","(5,805,916)","(805,916)"
,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,
Full-Time Positions,"21,630","21,055","21,271","25,185","23,080","20,865","4,320","2,215"
Class 100 Total Oblig./Approp.,"1,811,423,186","1,890,714,287","1,975,600,771","2,167,982,681","2,177,126,794","2,177,126,794","(9,144,113)",0
Class 100 Overtime Oblig./Approp.,"185,591,876","215,014,701","249,647,862","270,447,090","282,514,440","262,200,808","8,246,282","20,313,632"
