0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department/Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Mayor's Office of Community Empowerment and Opportunity,,,,,,,,,,,
Full-Time Positions,0,0,13,41,41,0,50,50,50,0,0
Class 100 Total Oblig./Approp.,"44,997","144,949","827,609","1,309,070","1,309,070",0,"3,511,054","3,550,367","3,550,367","(39,313)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,8,9,10,10,10,0,10,10,10,0,0
Class 100 Total Oblig./Approp.,"404,320","527,907","452,766","277,924","277,924",0,"629,179","653,245","653,245","(24,066)",0
Class 100 Overtime Oblig./Approp.,"5,431","12,599","12,869","18,500","2,131","16,369","37,000","37,000","37,000",0,0
Office of Arts and Culture,,,,,,,,,,,
Full-Time Positions,0,0,0,6,6,0,9,9,9,0,0
Class 100 Total Oblig./Approp.,0,0,0,"325,183","325,183",0,"714,833","714,833","714,833",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Behavioral Health and Intellectual disAbility,,,,,,,,,,,
Full-Time Positions,30,44,44,48,48,0,53,53,53,0,0
Class 100 Total Oblig./Approp.,"1,818,626","3,114,848","4,370,664","1,945,430","1,945,430",0,"3,661,271","3,862,922","3,865,364","(204,093)","(2,442)"
Class 100 Overtime Oblig./Approp.,"40,229","152,495","277,403","155,664","111,907","43,757","311,328","311,328","311,328",0,0
Office of the Chief Administrative Officer,,,,,,,,,,,
Full-Time Positions,75,73,69,77,77,0,100,100,100,0,0
Class 100 Total Oblig./Approp.,"4,457,677","6,108,879","5,519,901","3,125,756","3,125,756",0,"7,924,104","8,133,155","8,166,212","(242,108)","(33,057)"
Class 100 Overtime Oblig./Approp.,"1,342","42,720","16,283","5,000","6,176","(1,176)","10,000","10,000","12,000","(2,000)","(2,000)"
Office of Education,,,,,,,,,,,
Full-Time Positions,2,5,3,4,4,0,9,9,9,0,0
Class 100 Total Oblig./Approp.,"377,938","502,591","481,098","277,325","277,325",0,"949,098","970,866","970,866","(21,768)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,,,,
Full-Time Positions,114,113,129,149,149,0,149,149,149,0,0
Class 100 Total Oblig./Approp.,"9,151,392","8,252,751","9,669,719","5,015,595","5,015,595",0,"10,635,985","11,063,813","11,165,474","(529,489)","(101,661)"
Class 100 Overtime Oblig./Approp.,"120,570","88,977","228,883","87,000","126,802","(39,802)","73,999","173,999","243,999","(170,000)","(70,000)"
