0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2024,,,,,FISCAL YEAR 2025,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,69,0,69,100,0,100,74,0,74,26
Office of Education,3,0,3,9,0,9,3,0,3,6
Office of Homeless Services,129,21,150,149,39,188,142,23,165,23
Office of Human Resources,91,0,91,99,0,99,92,0,92,7
Office of Innovation and Technology,369,108,477,421,159,580,367,109,476,104
Office of the Inspector General,18,0,18,26,0,26,18,0,18,8
Office of Property Assessment,178,0,178,226,0,226,181,0,181,45
Office of Sustainability,23,2,25,23,6,29,24,1,25,4
Parks and Recreation,680,18,698,926,34,960,686,17,703,257
Planning & Development,78,66,144,86,82,168,74,66,140,28
Police Total,"6,204",109,"6,313","7,610",273,"7,883","6,212",102,"6,314","1,569"
Civilian,866,6,872,"1,230",131,"1,361",887,6,893,468
Uniform,"5,338",103,"5,441","6,380",142,"6,522","5,325",96,"5,421","1,101"
Prisons,"1,266",0,"1,266","2,186",0,"2,186","1,339",0,"1,339",847
Procurement,36,0,36,53,2,55,34,0,34,21
Public Health,730,184,914,871,211,"1,082",755,166,921,161
Public Property,125,0,125,158,0,158,101,0,101,57
Records,55,0,55,60,0,60,54,0,54,6
Register of Wills,64,0,64,85,0,85,67,0,67,18
Revenue,341,186,527,400,221,621,344,188,532,89
Sheriff,318,0,318,459,0,459,318,0,318,141
Streets,"1,495",657,"2,152","1,885",820,"2,705","1,578",683,"2,261",444
Water,0,"2,022","2,022",0,"2,557","2,557",0,"2,045","2,045",512
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,1,1,0
,,,,,,,,,,
TOTAL ALL FUNDS,"20,865","6,254","27,119","25,932","7,913","33,845","21,242","6,317","27,559","6,286"
