dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2040000.0,0.0,0.0,0.0,2040000.0,2022,Art Museum,34,,34
Auditing (City Controller),9523506.0,469764.0,11908.0,0.0,0.0,0.0,0.0,10005178.0,2022,City Controller's Office,61,,61
Board of Ethics,848155.0,10614.0,0.0,0.0,0.0,0.0,0.0,858769.0,2022,Board of Ethics,45,,45
Board of Revision of Taxes,988226.0,35454.0,17201.0,0.0,0.0,0.0,0.0,1040881.0,2022,Board of Revision of Taxes,63,BRT,63
City Commissioners,7768164.0,8526175.0,4148309.0,62500.0,0.0,0.0,0.0,20505148.0,2022,City Commissioner's Office,73,City Commissioners,73
City Council,14383873.0,2358592.0,327495.0,0.0,0.0,0.0,0.0,17069960.0,2022,City Council,01,,01
City Treasurer,1396762.0,1209913.0,10726.0,0.0,0.0,0.0,0.0,2617401.0,2022,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,141474.0,29500.0,0.0,0.0,0.0,0.0,0.0,170974.0,2022,Civil Service Commission,55,,55
Commerce,2601371.0,10038704.0,20006.0,500000.0,0.0,0.0,0.0,13160081.0,2022,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2022,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,5834550.0,0.0,0.0,0.0,0.0,0.0,5834550.0,2022,Commerce: Economic Stimulus,42-ES,,42
District Attorney,39764411.0,3135890.0,509537.0,322500.0,0.0,0.0,0.0,43732338.0,2022,District Attorney's Office,69,DAO,69
Finance,9986109.0,3002622.0,33162.0,15716912.0,0.0,11207452.0,0.0,39946257.0,2022,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,48128075.0,0.0,0.0,0.0,48128075.0,2022,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1690045986.0,0.0,0.0,0.0,0.0,0.0,0.0,1690045986.0,2022,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,54000.0,2022,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,2603995.0,0.0,0.0,0.0,2603995.0,2022,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,51581.0,0.0,0.0,0.0,51581.0,2022,Finance: Refunds,35-R,,35
Finance-Reg #32,2497028.0,0.0,0.0,0.0,0.0,0.0,0.0,2497028.0,2022,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,255953201.0,0.0,0.0,0.0,255953201.0,2022,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,132374.0,0.0,0.0,0.0,0.0,0.0,132374.0,2022,Finance: Witness Fees,35-WF,,35
Fire,341171247.0,7057544.0,14292119.0,1010336.0,0.0,6533000.0,0.0,370064246.0,2022,Fire Department,13,Fire,13
First Judicial District,101924504.0,13403422.0,2231868.0,42333.0,0.0,0.0,0.0,117602127.0,2022,First Judicial District,84,FJD,84
Fleet Services,18075554.0,5460023.0,24365792.0,75000.0,0.0,0.0,0.0,47976369.0,2022,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,9745852.0,0.0,0.0,0.0,0.0,9745852.0,2022,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,37737788.0,2004479.0,1806963.0,272500.0,0.0,0.0,0.0,41821730.0,2022,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,2286733.0,15811.0,10058.0,0.0,0.0,0.0,0.0,2312602.0,2022,Commission on Human Relations,54,Human Relations,54
Human Services,28716422.0,138755444.0,1434214.0,3655629.0,0.0,0.0,0.0,172561709.0,2022,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,76786.0,0.0,0.0,0.0,0.0,0.0,0.0,76786.0,2022,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,134513.0,10436.0,0.0,0.0,0.0,0.0,0.0,144949.0,2022,L&I: Board of Review,27,,27
Labor,2246006.0,443984.0,10048.0,0.0,0.0,0.0,0.0,2700038.0,2022,Labor,03,,03
Law,13550079.0,7791806.0,82115.0,0.0,0.0,0.0,0.0,21424000.0,2022,Law Department,44,Law,44
Licenses & Inspection,24295338.0,12997237.0,723794.0,119027.0,0.0,0.0,0.0,38135396.0,2022,Department of Licenses and Inspections,26,L&I,26
Managing Director,31286076.0,93464375.0,3515466.0,3376000.0,0.0,0.0,0.0,131641917.0,2022,Managing Director's Office,10,MDO,10
Managing Director-Citizens Police Oversight Commission,672238.0,152473.0,905.0,0.0,0.0,0.0,0.0,825616.0,2022,MDO: Citizens Police Oversight Commission,10-CP,,10
Managing Director-Defenders Association,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,MDO: Legal Services,10-LS,,10
Mayor's Office,5673722.0,647185.0,12359.0,0.0,0.0,0.0,0.0,6333266.0,2022,Mayor's Office,05,Mayor,05
Mayor's Office - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,2022,Mayor's Office: Scholarships,05-S,,05
Mural Arts Program,404320.0,2065610.0,0.0,0.0,0.0,0.0,0.0,2469930.0,2022,Mural Arts Program,50,Mural Arts,50
Office of Behavioral Health and Intellectual disAbility,1818626.0,20480261.0,26148.0,0.0,0.0,0.0,0.0,22325035.0,2022,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Children and Families,377938.0,0.0,0.0,0.0,0.0,0.0,0.0,377938.0,2022,Office of Children and Families,66,OCF,66
Office of Community Empowerment and Opportunity,44997.0,1463999.0,0.0,382.0,0.0,0.0,0.0,1509378.0,2022,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Office of Homeless Services,9151392.0,45807172.0,317222.0,5175.0,0.0,0.0,0.0,55280961.0,2022,Office of Homeless Services,24,OHS,24
Office of Human Resources,5230335.0,863161.0,38118.0,0.0,0.0,0.0,0.0,6131614.0,2022,Office of Human Resources,56,OHR,56
Office of Innovation and Technology,24553231.0,45103824.0,12896955.0,12416.0,0.0,0.0,0.0,82566426.0,2022,Office of Innovation and Technology,04,OIT,04
Office of Innovation and Technology-911,1186642.0,13211938.0,2593483.0,0.0,0.0,0.0,0.0,16992063.0,2022,OIT: 911,04-911,,04
Office of Property Assessment,13638652.0,1238456.0,75938.0,0.0,0.0,0.0,0.0,14953046.0,2022,Office of Property Assessment,59,OPA,59
