dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2142000.0,0.0,0.0,0.0,2142000.0,2024,Art Museum,34,,34
Auditing (City Controller),10599672.0,508573.0,40000.0,0.0,0.0,0.0,0.0,11148245.0,2024,City Controller's Office,61,,61
Board of Ethics,1322433.0,52500.0,7500.0,0.0,0.0,0.0,0.0,1382433.0,2024,Board of Ethics,45,,45
Board of Revision of Taxes,1089023.0,80681.0,22727.0,0.0,0.0,0.0,0.0,1192431.0,2024,Board of Revision of Taxes,63,BRT,63
City Commissioners,11193816.0,14740101.0,3183733.0,0.0,0.0,0.0,0.0,29117650.0,2024,City Commissioner's Office,73,City Commissioners,73
City Council,16700583.0,2521885.0,528650.0,100.0,0.0,100.0,100.0,19751418.0,2024,City Council,01,,01
City Treasurer,1819025.0,3251903.0,43724.0,0.0,0.0,0.0,0.0,5114652.0,2024,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,183057.0,29500.0,1094.0,0.0,0.0,0.0,13360000.0,13573651.0,2024,Civil Service Commission,55,,55
Commerce,5767611.0,12246293.0,26654.0,505000.0,0.0,0.0,0.0,18545558.0,2024,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2024,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,16334550.0,0.0,0.0,0.0,0.0,0.0,16334550.0,2024,Commerce: Economic Stimulus,42-ES,,42
District Attorney,46912929.0,3373866.0,832275.0,0.0,0.0,0.0,0.0,51119070.0,2024,District Attorney's Office,69,DAO,69
Finance,11795202.0,5000698.0,47024.0,25758000.0,0.0,40612698.0,0.0,83213622.0,2024,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,42261000.0,0.0,42261000.0,2024,Finance: Budget Stabilization Reserve,35-BSR,,35
