dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2142000.0,0.0,0.0,0.0,2142000.0,2027,Art Museum,34,,34
Auditing (City Controller),11643467.0,608573.0,40000.0,0.0,0.0,0.0,0.0,12292040.0,2027,City Controller's Office,61,,61
Board of Ethics,1451997.0,52500.0,7500.0,0.0,0.0,0.0,0.0,1511997.0,2027,Board of Ethics,45,,45
Board of Revision of Taxes,1180874.0,52681.0,17727.0,0.0,0.0,0.0,0.0,1251282.0,2027,Board of Revision of Taxes,63,BRT,63
Citizens Police Oversight Commission,2661621.0,438002.0,42000.0,0.0,0.0,0.0,0.0,3141623.0,2027,Citizens Police Oversight Commission,74,CPOC,74
City Commissioners,12831524.0,13740101.0,3166533.0,0.0,0.0,0.0,0.0,29738158.0,2027,City Commissioner's Office,73,City Commissioners,73
City Council,21565560.0,4372979.0,817582.0,100.0,0.0,100.0,100.0,26756421.0,2027,City Council,01,,01
City Representative,2068492.0,1202500.0,170000.0,0.0,0.0,0.0,0.0,3440992.0,2027,Office of the City Representative,41,City Rep,41
City Treasurer,2038723.0,3301903.0,43724.0,0.0,0.0,0.0,0.0,5384350.0,2027,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,196262.0,29500.0,1094.0,0.0,0.0,0.0,39309000.0,39535856.0,2027,Civil Service Commission,55,,55
Commerce,7447173.0,7981928.0,181654.0,505000.0,0.0,0.0,0.0,16115755.0,2027,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2027,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,90415294.0,0.0,0.0,0.0,0.0,0.0,90415294.0,2027,Commerce: Economic Stimulus,42-ES,,42
District Attorney,55408611.0,3842186.0,832275.0,0.0,0.0,0.0,0.0,60083072.0,2027,District Attorney's Office,69,DAO,69
Finance,17315813.0,5770620.0,567024.0,15008000.0,0.0,2500000.0,0.0,41161457.0,2027,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,52484000.0,0.0,52484000.0,2027,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,55853181.0,0.0,0.0,0.0,55853181.0,2027,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1821169058.0,0.0,0.0,0.0,0.0,0.0,0.0,1821169058.0,2027,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,150000.0,2027,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,61278421.0,0.0,0.0,0.0,61278421.0,2027,Finance: Indemnities,35-IN,,35
Finance-Payment to Housing Trust Fund,0.0,0.0,0.0,0.0,0.0,34668215.0,0.0,34668215.0,2027,Finance: Housing Trust Fund,35-HTF,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2027,Finance: Refunds,35-R,,35
Finance-Reg #32,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2027,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,284052590.0,0.0,0.0,0.0,284052590.0,2027,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,260094.0,0.0,0.0,0.0,0.0,0.0,260094.0,2027,Finance: Witness Fees,35-WF,,35
Fire,395934095.0,20360034.0,31673714.0,0.0,0.0,12908000.0,0.0,460875843.0,2027,Fire Department,13,Fire,13
First Judicial District,127020161.0,9075191.0,2343461.0,0.0,0.0,0.0,0.0,138438813.0,2027,First Judicial District,84,FJD,84
Fleet Services,24755702.0,7530287.0,28514327.0,0.0,0.0,0.0,0.0,60800316.0,2027,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,15359245.0,0.0,0.0,0.0,0.0,15359245.0,2027,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,65588857.0,4224722.0,8445551.0,0.0,0.0,0.0,0.0,78259130.0,2027,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,3105010.0,76901.0,28031.0,0.0,0.0,0.0,0.0,3209942.0,2027,Commission on Human Relations,54,Human Relations,54
Human Services,38313511.0,194336763.0,1865136.0,0.0,0.0,0.0,0.0,234515410.0,2027,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,94904.0,0.0,0.0,0.0,0.0,0.0,0.0,94904.0,2027,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,184334.0,10436.0,0.0,0.0,0.0,0.0,0.0,194770.0,2027,L&I: Board of Review,27,,27
Labor,4452926.0,890814.0,21420.0,0.0,0.0,0.0,0.0,5365160.0,2027,Labor,03,,03
Law,22983668.0,14693145.0,184676.0,0.0,0.0,0.0,0.0,37861489.0,2027,Law Department,44,Law,44
Licenses & Inspection,33725984.0,14212118.0,2510475.0,0.0,0.0,0.0,0.0,50448577.0,2027,Department of Licenses and Inspections,26,L&I,26
Managing Director,37211322.0,71921238.0,4530754.0,0.0,0.0,350000.0,0.0,114013314.0,2027,Managing Director's Office,10,MDO,10
Managing Director-Citizens Police Oversight Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027,MDO: Citizens Police Oversight Commission,10-CP,,10
Managing Director-Clean & Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027,MDO: Clean and Green,10-CG,,10
Managing Director-Defenders Association,0.0,69047780.0,0.0,0.0,0.0,0.0,0.0,69047780.0,2027,MDO: Legal Services,10-LS,,10
Managing Director-Public Safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027,MDO: Public Safety,10-PS,,10
Mayor's Office,11217634.0,2343826.0,158911.0,0.0,0.0,0.0,0.0,13720371.0,2027,Mayor's Office,05,Mayor,05
