name,aug_fy24,aug_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3418784.0,6506782.0,10867877.0,15169219.0,-4301342.0,806316123.0,1.33,current
real_estate,2250268.0,4104467.0,4629868.0,7032617.0,-2402749.0,24069132.0,16.13,prior
real_estate,5669053.0,10611249.0,15497745.0,22201836.0,-6704091.0,830385255.0,1.83,total
wage_city,135184270.0,167013949.0,300728242.0,295202834.0,5525407.0,1449017758.0,17.19,current
wage_city,-6490805.0,-10178417.0,-7413474.0,-14766930.0,7353456.0,10813474.0,-218.04,prior
wage_city,128693465.0,156835532.0,293314767.0,280435904.0,12878863.0,1459831233.0,16.73,total
wage_pica,48588944.0,59312268.0,107135883.0,104338744.0,2797139.0,512664974.0,17.29,current
wage_pica,-277372.0,-3367825.0,446162.0,-4886068.0,5332230.0,,,prior
wage_pica,48311572.0,55944443.0,107582045.0,99452677.0,8129369.0,514293454.0,17.3,total
wage,177005037.0,212779976.0,400896812.0,379888581.0,21008232.0,1974124687.0,16.88,total
earnings_city,209852.0,506916.0,407426.0,924022.0,-516596.0,11592574.0,3.4,current
earnings_city,361688.0,269781.0,826006.0,561450.0,264556.0,1173994.0,41.3,prior
earnings_city,571541.0,776697.0,1233431.0,1485471.0,-252040.0,12766569.0,8.81,total
earnings_pica,333341.0,281407.0,710085.0,523443.0,186642.0,5415807.0,11.59,current
earnings_pica,,149002.0,,310093.0,-310093.0,,,prior
earnings_pica,333341.0,430409.0,710085.0,833536.0,-123451.0,7916416.0,8.23,total
earnings,904882.0,1207106.0,1943516.0,2319007.0,-375491.0,20682984.0,8.59,total
net_profits_city,235901.0,1735973.0,571309.0,2670831.0,-2099522.0,41768691.0,1.35,current
net_profits_city,1254093.0,327528.0,1962492.0,582959.0,1379533.0,2737508.0,41.76,prior
net_profits_city,1489994.0,2063501.0,2533802.0,3253790.0,-719989.0,44506198.0,5.39,total
net_profits_pica,1497741.0,1610702.0,2617668.0,2502966.0,114702.0,34577007.0,7.04,current
net_profits_pica,,297049.0,163.0,528710.0,-528547.0,7399162.0,0.0,prior
net_profits_pica,1497741.0,1907751.0,2617831.0,3031676.0,-413845.0,41976169.0,5.87,total
net_profits,2987735.0,3971252.0,5151632.0,6285466.0,-1133834.0,86482368.0,5.62,total
wage_earnings_net_profits,180897654.0,217958333.0,407991961.0,388493054.0,19498907.0,2081290039.0,16.39,total
wage_earnings_net_profits_pica,50142654.0,58282603.0,110909961.0,103317888.0,7592073.0,564186039.0,16.43,total
wage_earnings_net_profits_city,130755000.0,159675731.0,297082000.0,285175166.0,11906834.0,1517104000.0,16.38,total
birt,835562.0,8696082.0,21696493.0,19229287.0,2467206.0,,,current
birt,5517157.0,1100506.0,8142735.0,2723495.0,5419240.0,,,prior
birt,6352719.0,9796588.0,29839228.0,21952782.0,7886446.0,639869772.0,4.46,total
sales,39918798.0,34969216.0,72767329.0,70826912.0,1940417.0,234317671.0,23.7,total
amusement,3573239.0,7039196.0,7085158.0,9827586.0,-2742428.0,26318842.0,21.21,total
tobacco,1979.0,34469.0,5969.0,47578.0,-41609.0,1106031.0,0.54,total
parking,,7623382.0,,15809980.0,,,,total
valet,,206681.0,,362618.0,,,,total
real_estate_transfer,23813431.0,53144883.0,53491823.0,104685265.0,-51193442.0,335438177.0,13.75,total
outdoor_ads,298747.0,274055.0,527578.0,517617.0,9961.0,3293422.0,13.81,total
soda,5846797.0,4816403.0,12148436.0,10925731.0,1222705.0,,,current
soda,46241.0,22768.0,64933.0,164036.0,-99103.0,,,prior
soda,5893038.0,4839171.0,12213369.0,11089767.0,1123602.0,61287631.0,16.62,total
construction_impact,-7000.0,,121375.0,162157.0,-40782.0,3378625.0,3.47,total
other_taxes,68647.0,-460902.0,-7679168.0,178914.0,-7858083.0,7754168.0,-10238.89,total
all_taxes,216337651.0,287753719.0,480952406.0,542838180.0,-61885773.0,3660253594.0,11.61,total
