category,fiscal_month,amount
general,1,2251.5
grants_revenue,1,-91.5
community_development,1,0.1
vehicle_rental_tax,1,9.2
hospital_assessment_fund,1,20.0
housing_trust_fund,1,104.7
transportation_fund,1,29.6
budget_stabilization_fund,1,112.8
other_funds,1,19.0
total_operating_funds,1,2455.4
capital_improvement,1,287.5
industrial_and_commercial_dev,1,11.1
total_capital_funds,1,298.6
total_fund_equity,1,2754.0
general,2,2102.2
grants_revenue,2,3.8
community_development,2,12.4
vehicle_rental_tax,2,10.0
hospital_assessment_fund,2,19.4
housing_trust_fund,2,99.6
transportation_fund,2,31.0
budget_stabilization_fund,2,112.8
other_funds,2,16.8
total_operating_funds,2,2408.0
capital_improvement,2,259.7
industrial_and_commercial_dev,2,11.2
total_capital_funds,2,270.8
total_fund_equity,2,2678.9
general,3,2187.1
grants_revenue,3,-4.7
community_development,3,8.3
vehicle_rental_tax,3,3.8
hospital_assessment_fund,3,14.4
housing_trust_fund,3,131.1
transportation_fund,3,35.8
budget_stabilization_fund,3,171.1
other_funds,3,17.4
total_operating_funds,3,2564.3
capital_improvement,3,234.7
industrial_and_commercial_dev,3,11.2
total_capital_funds,3,245.9
total_fund_equity,3,2810.1
general,4,2006.7
grants_revenue,4,-25.3
community_development,4,10.0
vehicle_rental_tax,4,4.5
hospital_assessment_fund,4,13.5
housing_trust_fund,4,129.8
transportation_fund,4,38.2
budget_stabilization_fund,4,171.1
other_funds,4,16.5
total_operating_funds,4,2365.0
capital_improvement,4,226.5
industrial_and_commercial_dev,4,11.2
total_capital_funds,4,237.8
total_fund_equity,4,2602.7
general,5,1837.5
grants_revenue,5,41.8
community_development,5,-5.5
vehicle_rental_tax,5,5.6
hospital_assessment_fund,5,21.8
housing_trust_fund,5,126.0
transportation_fund,5,41.2
budget_stabilization_fund,5,171.1
other_funds,5,16.2
total_operating_funds,5,2255.6
capital_improvement,5,171.5
industrial_and_commercial_dev,5,11.3
total_capital_funds,5,182.8
total_fund_equity,5,2438.4
general,6,1720.7
grants_revenue,6,-10.6
community_development,6,-9.7
vehicle_rental_tax,6,6.1
hospital_assessment_fund,6,49.9
housing_trust_fund,6,123.9
transportation_fund,6,44.2
budget_stabilization_fund,6,171.1
other_funds,6,16.0
total_operating_funds,6,2111.5
capital_improvement,6,156.5
industrial_and_commercial_dev,6,11.3
total_capital_funds,6,167.8
total_fund_equity,6,2279.3
general,7,1744.5
grants_revenue,7,54.0
community_development,7,-7.5
vehicle_rental_tax,7,6.5
hospital_assessment_fund,7,20.9
housing_trust_fund,7,121.8
transportation_fund,7,47.2
budget_stabilization_fund,7,171.1
other_funds,7,15.9
total_operating_funds,7,2174.4
capital_improvement,7,141.5
industrial_and_commercial_dev,7,11.3
total_capital_funds,7,152.8
total_fund_equity,7,2327.3
general,8,1653.9
grants_revenue,8,161.4
community_development,8,-5.5
vehicle_rental_tax,8,6.9
hospital_assessment_fund,8,20.6
housing_trust_fund,8,119.7
transportation_fund,8,50.2
budget_stabilization_fund,8,171.1
other_funds,8,15.7
total_operating_funds,8,2193.9
capital_improvement,8,146.5
industrial_and_commercial_dev,8,11.3
total_capital_funds,8,157.8
total_fund_equity,8,2351.8
general,9,1434.9
grants_revenue,9,121.4
community_development,9,-6.6
vehicle_rental_tax,9,7.4
hospital_assessment_fund,9,34.6
housing_trust_fund,9,117.6
transportation_fund,9,53.2
budget_stabilization_fund,9,171.1
other_funds,9,15.6
total_operating_funds,9,1949.0
capital_improvement,9,131.5
industrial_and_commercial_dev,9,11.3
total_capital_funds,9,142.9
total_fund_equity,9,2091.9
general,10,1857.4
grants_revenue,10,246.4
community_development,10,-1.0
vehicle_rental_tax,10,7.7
hospital_assessment_fund,10,22.5
housing_trust_fund,10,115.5
transportation_fund,10,56.2
budget_stabilization_fund,10,171.1
other_funds,10,15.4
total_operating_funds,10,2491.2
capital_improvement,10,116.5
industrial_and_commercial_dev,10,11.4
total_capital_funds,10,127.9
total_fund_equity,10,2619.1
general,11,1755.6
grants_revenue,11,193.0
community_development,11,-1.2
vehicle_rental_tax,11,8.1
hospital_assessment_fund,11,47.5
housing_trust_fund,11,113.4
transportation_fund,11,59.2
budget_stabilization_fund,11,171.1
other_funds,11,15.3
total_operating_funds,11,2362.0
capital_improvement,11,101.5
industrial_and_commercial_dev,11,11.4
total_capital_funds,11,112.9
total_fund_equity,11,2474.9
general,12,1645.7
grants_revenue,12,125.9
community_development,12,0.0
vehicle_rental_tax,12,8.6
hospital_assessment_fund,12,29.8
housing_trust_fund,12,111.3
transportation_fund,12,34.2
budget_stabilization_fund,12,176.1
other_funds,12,15.1
total_operating_funds,12,2146.8
capital_improvement,12,86.5
industrial_and_commercial_dev,12,11.4
total_capital_funds,12,97.9
total_fund_equity,12,2244.8
