category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,7.3
opening_balance,1,1802.2
tran,1,0.0
closing_balance,1,1809.6
excess_of_receipts_over_disbursements,2,-31.7
opening_balance,2,1809.6
tran,2,0.0
closing_balance,2,1777.9
excess_of_receipts_over_disbursements,3,-0.5
opening_balance,3,1777.9
tran,3,0.0
closing_balance,3,1777.4
excess_of_receipts_over_disbursements,4,-137.5
opening_balance,4,1777.4
tran,4,0.0
closing_balance,4,1640.0
excess_of_receipts_over_disbursements,5,-13.1
opening_balance,5,1640.0
tran,5,0.0
closing_balance,5,1626.8
excess_of_receipts_over_disbursements,6,-90.2
opening_balance,6,1626.8
tran,6,0.0
closing_balance,6,1536.6
excess_of_receipts_over_disbursements,7,411.8
opening_balance,7,1536.6
tran,7,0.0
closing_balance,7,1948.4
excess_of_receipts_over_disbursements,8,-68.1
opening_balance,8,1948.4
tran,8,0.0
closing_balance,8,1880.3
excess_of_receipts_over_disbursements,9,-362.1
opening_balance,9,1880.3
tran,9,0.0
closing_balance,9,1518.2
excess_of_receipts_over_disbursements,10,413.2
opening_balance,10,1518.2
tran,10,0.0
closing_balance,10,1931.5
excess_of_receipts_over_disbursements,11,-78.2
opening_balance,11,1931.5
tran,11,0.0
closing_balance,11,1853.2
excess_of_receipts_over_disbursements,12,-236.7
opening_balance,12,1853.2
tran,12,0.0
closing_balance,12,1616.6
