category,fiscal_month,amount
real_estate_tax,1,9.8
total_wage_earnings_net_profits,1,166.3
realty_transfer_tax,1,29.7
sales_tax,1,32.8
business_income_and_receipts_tax,1,23.5
beverage_tax,1,6.3
other_taxes,1,-3.7
locally_generated_nontax,1,43.1
total_other_governments,1,1.3
total_pica_other_governments,1,50.2
interfund_transfers,1,0.0
total_current_revenue,1,359.5
collection_of_prior_year_revenue,1,22.2
other_fund_balance_adjustments,1,0.0
total_cash_receipts,1,381.7
real_estate_tax,2,2.6
total_wage_earnings_net_profits,2,130.8
realty_transfer_tax,2,23.8
sales_tax,2,39.9
business_income_and_receipts_tax,2,6.4
beverage_tax,2,5.9
other_taxes,2,10.8
locally_generated_nontax,2,39.8
total_other_governments,2,72.6
total_pica_other_governments,2,56.0
interfund_transfers,2,0.0
total_current_revenue,2,388.5
collection_of_prior_year_revenue,2,0.0
other_fund_balance_adjustments,2,0.0
total_cash_receipts,2,388.5
real_estate_tax,3,7.3
total_wage_earnings_net_profits,3,131.8
realty_transfer_tax,3,23.8
sales_tax,3,16.1
business_income_and_receipts_tax,3,30.3
beverage_tax,3,6.3
other_taxes,3,8.5
locally_generated_nontax,3,45.6
total_other_governments,3,100.4
total_pica_other_governments,3,53.4
interfund_transfers,3,0.0
total_current_revenue,3,423.4
collection_of_prior_year_revenue,3,0.0
other_fund_balance_adjustments,3,0.0
total_cash_receipts,3,423.4
real_estate_tax,4,10.3
total_wage_earnings_net_profits,4,180.8
realty_transfer_tax,4,20.7
sales_tax,4,0.0
business_income_and_receipts_tax,4,34.9
beverage_tax,4,5.9
other_taxes,4,4.4
locally_generated_nontax,4,25.4
total_other_governments,4,29.4
total_pica_other_governments,4,54.5
interfund_transfers,4,0.0
total_current_revenue,4,366.3
collection_of_prior_year_revenue,4,-32.0
other_fund_balance_adjustments,4,0.0
total_cash_receipts,4,334.3
real_estate_tax,5,7.4
total_wage_earnings_net_profits,5,141.9
realty_transfer_tax,5,19.8
sales_tax,5,34.5
business_income_and_receipts_tax,5,5.1
beverage_tax,5,6.3
other_taxes,5,1.8
locally_generated_nontax,5,34.5
total_other_governments,5,8.0
total_pica_other_governments,5,54.9
interfund_transfers,5,0.0
total_current_revenue,5,314.1
collection_of_prior_year_revenue,5,0.0
other_fund_balance_adjustments,5,0.0
total_cash_receipts,5,314.1
real_estate_tax,6,31.8
total_wage_earnings_net_profits,6,132.6
realty_transfer_tax,6,22.2
sales_tax,6,17.0
business_income_and_receipts_tax,6,27.0
beverage_tax,6,6.3
other_taxes,6,3.5
locally_generated_nontax,6,30.5
total_other_governments,6,1.1
total_pica_other_governments,6,53.7
interfund_transfers,6,0.0
total_current_revenue,6,325.7
collection_of_prior_year_revenue,6,0.0
other_fund_balance_adjustments,6,0.0
total_cash_receipts,6,325.7
real_estate_tax,7,36.6
total_wage_earnings_net_profits,7,193.7
realty_transfer_tax,7,22.0
sales_tax,7,16.7
business_income_and_receipts_tax,7,29.9
beverage_tax,7,6.5
other_taxes,7,3.6
locally_generated_nontax,7,34.5
total_other_governments,7,22.5
total_pica_other_governments,7,59.0
interfund_transfers,7,0.0
total_current_revenue,7,425.1
collection_of_prior_year_revenue,7,0.0
other_fund_balance_adjustments,7,0.0
total_cash_receipts,7,425.1
real_estate_tax,8,86.6
total_wage_earnings_net_profits,8,138.7
realty_transfer_tax,8,15.3
sales_tax,8,20.5
business_income_and_receipts_tax,8,6.8
beverage_tax,8,5.5
other_taxes,8,3.5
locally_generated_nontax,8,29.0
total_other_governments,8,58.9
total_pica_other_governments,8,59.9
interfund_transfers,8,0.0
total_current_revenue,8,424.7
collection_of_prior_year_revenue,8,0.0
other_fund_balance_adjustments,8,0.0
total_cash_receipts,8,424.7
real_estate_tax,9,491.7
total_wage_earnings_net_profits,9,158.3
realty_transfer_tax,9,23.1
sales_tax,9,30.5
business_income_and_receipts_tax,9,67.7
beverage_tax,9,6.0
other_taxes,9,3.3
locally_generated_nontax,9,33.9
total_other_governments,9,18.7
total_pica_other_governments,9,62.4
interfund_transfers,9,390.8
total_current_revenue,9,1286.5
collection_of_prior_year_revenue,9,0.0
other_fund_balance_adjustments,9,0.0
total_cash_receipts,9,1286.5
real_estate_tax,10,132.0
total_wage_earnings_net_profits,10,185.3
realty_transfer_tax,10,21.1
sales_tax,10,37.5
business_income_and_receipts_tax,10,317.9
beverage_tax,10,6.7
other_taxes,10,3.8
locally_generated_nontax,10,28.6
total_other_governments,10,18.4
total_pica_other_governments,10,66.8
interfund_transfers,10,0.0
total_current_revenue,10,818.0
collection_of_prior_year_revenue,10,0.0
other_fund_balance_adjustments,10,0.0
total_cash_receipts,10,818.0
real_estate_tax,11,19.1
total_wage_earnings_net_profits,11,145.0
realty_transfer_tax,11,22.8
sales_tax,11,38.7
business_income_and_receipts_tax,11,75.0
beverage_tax,11,6.5
other_taxes,11,3.0
locally_generated_nontax,11,38.9
total_other_governments,11,16.7
total_pica_other_governments,11,66.4
interfund_transfers,11,0.0
total_current_revenue,11,431.9
collection_of_prior_year_revenue,11,0.0
other_fund_balance_adjustments,11,0.0
total_cash_receipts,11,431.9
real_estate_tax,12,10.7
total_wage_earnings_net_profits,12,131.5
realty_transfer_tax,12,20.8
sales_tax,12,35.0
business_income_and_receipts_tax,12,25.0
beverage_tax,12,6.2
other_taxes,12,2.7
locally_generated_nontax,12,22.8
total_other_governments,12,6.4
total_pica_other_governments,12,48.0
interfund_transfers,12,25.9
total_current_revenue,12,334.9
collection_of_prior_year_revenue,12,0.0
other_fund_balance_adjustments,12,0.0
total_cash_receipts,12,334.9
real_estate_tax,13,845.9
total_wage_earnings_net_profits,13,1836.7
realty_transfer_tax,13,265.1
sales_tax,13,319.3
business_income_and_receipts_tax,13,649.3
beverage_tax,13,74.4
other_taxes,13,45.0
locally_generated_nontax,13,406.7
total_other_governments,13,354.3
total_pica_other_governments,13,685.1
interfund_transfers,13,416.7
total_current_revenue,13,5898.5
collection_of_prior_year_revenue,13,-9.8
other_fund_balance_adjustments,13,0.0
total_cash_receipts,13,5888.7
