category,fiscal_month,amount
payroll,1,128.5
employee_benefits,1,87.3
pension,1,0.1
purchases_of_services,1,25.1
materials_equipment,1,4.0
contributions_indemnities,1,9.8
debt_service_short,1,0.1
debt_service_long,1,127.3
interfund_charges,1,0.4
advances_misc_payments,1,0.0
current_year_appropriation,1,382.6
prior_year_encumbrances,1,78.6
prior_year_vouchers_payable,1,97.7
total_disbursements,1,558.8
payroll,2,181.8
employee_benefits,2,57.5
pension,2,-5.5
purchases_of_services,2,53.7
materials_equipment,2,7.7
contributions_indemnities,2,93.1
debt_service_short,2,0.0
debt_service_long,2,0.0
interfund_charges,2,0.0
advances_misc_payments,2,0.0
current_year_appropriation,2,388.3
prior_year_encumbrances,2,59.0
prior_year_vouchers_payable,2,34.3
total_disbursements,2,481.6
payroll,3,164.0
employee_benefits,3,62.4
pension,3,9.4
purchases_of_services,3,104.2
materials_equipment,3,4.8
contributions_indemnities,3,29.8
debt_service_short,3,0.0
debt_service_long,3,0.0
interfund_charges,3,90.6
advances_misc_payments,3,0.0
current_year_appropriation,3,465.1
prior_year_encumbrances,3,46.2
prior_year_vouchers_payable,3,-38.3
total_disbursements,3,473.1
payroll,4,162.9
employee_benefits,4,62.8
pension,4,97.5
purchases_of_services,4,117.8
materials_equipment,4,10.6
contributions_indemnities,4,3.7
debt_service_short,4,0.1
debt_service_long,4,6.1
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,461.6
prior_year_encumbrances,4,30.2
prior_year_vouchers_payable,4,173.0
total_disbursements,4,664.8
payroll,5,251.6
employee_benefits,5,93.1
pension,5,-11.2
purchases_of_services,5,94.1
materials_equipment,5,9.2
contributions_indemnities,5,20.1
debt_service_short,5,0.0
debt_service_long,5,6.4
interfund_charges,5,0.0
advances_misc_payments,5,8.2
current_year_appropriation,5,471.4
prior_year_encumbrances,5,15.8
prior_year_vouchers_payable,5,0.0
total_disbursements,5,487.3
payroll,6,175.8
employee_benefits,6,64.7
pension,6,-3.7
purchases_of_services,6,104.2
materials_equipment,6,10.1
contributions_indemnities,6,77.8
debt_service_short,6,0.0
debt_service_long,6,4.1
interfund_charges,6,0.0
advances_misc_payments,6,8.2
current_year_appropriation,6,441.2
prior_year_encumbrances,6,12.6
prior_year_vouchers_payable,6,0.0
total_disbursements,6,453.9
payroll,7,192.4
employee_benefits,7,70.9
pension,7,-5.3
purchases_of_services,7,106.0
materials_equipment,7,16.9
contributions_indemnities,7,9.5
debt_service_short,7,0.0
debt_service_long,7,2.8
interfund_charges,7,0.0
advances_misc_payments,7,8.2
current_year_appropriation,7,401.4
prior_year_encumbrances,7,15.8
prior_year_vouchers_payable,7,0.0
total_disbursements,7,417.2
payroll,8,174.9
employee_benefits,8,64.4
pension,8,-5.2
purchases_of_services,8,104.4
materials_equipment,8,15.7
contributions_indemnities,8,37.6
debt_service_short,8,0.0
debt_service_long,8,37.2
interfund_charges,8,20.0
advances_misc_payments,8,8.2
current_year_appropriation,8,457.3
prior_year_encumbrances,8,18.2
prior_year_vouchers_payable,8,0.0
total_disbursements,8,475.6
payroll,9,175.8
employee_benefits,9,64.7
pension,9,617.8
purchases_of_services,9,147.7
materials_equipment,9,17.9
contributions_indemnities,9,84.1
debt_service_short,9,0.0
debt_service_long,9,4.1
interfund_charges,9,0.0
advances_misc_payments,9,8.2
current_year_appropriation,9,1120.4
prior_year_encumbrances,9,14.7
prior_year_vouchers_payable,9,0.0
total_disbursements,9,1135.1
payroll,10,175.8
employee_benefits,10,64.7
pension,10,-4.6
purchases_of_services,10,135.3
materials_equipment,10,20.6
contributions_indemnities,10,18.0
debt_service_short,10,0.0
debt_service_long,10,0.3
interfund_charges,10,0.0
advances_misc_payments,10,8.2
current_year_appropriation,10,418.3
prior_year_encumbrances,10,7.9
prior_year_vouchers_payable,10,0.0
total_disbursements,10,426.2
payroll,11,251.6
employee_benefits,11,93.9
pension,11,-4.4
purchases_of_services,11,149.0
materials_equipment,11,19.8
contributions_indemnities,11,14.2
debt_service_short,11,0.0
debt_service_long,11,15.9
interfund_charges,11,0.0
advances_misc_payments,11,8.2
current_year_appropriation,11,548.2
prior_year_encumbrances,11,5.4
prior_year_vouchers_payable,11,0.0
total_disbursements,11,553.6
payroll,12,181.3
employee_benefits,12,66.8
pension,12,-13.6
purchases_of_services,12,108.3
materials_equipment,12,20.1
contributions_indemnities,12,85.0
debt_service_short,12,3.1
debt_service_long,12,27.1
interfund_charges,12,1.9
advances_misc_payments,12,8.4
current_year_appropriation,12,488.4
prior_year_encumbrances,12,6.0
prior_year_vouchers_payable,12,0.0
total_disbursements,12,494.4
payroll,13,2216.3
employee_benefits,13,853.1
pension,13,671.4
purchases_of_services,13,1249.9
materials_equipment,13,157.4
contributions_indemnities,13,482.7
debt_service_short,13,3.3
debt_service_long,13,231.4
interfund_charges,13,112.9
advances_misc_payments,13,65.9
current_year_appropriation,13,6044.3
prior_year_encumbrances,13,310.6
prior_year_vouchers_payable,13,266.7
total_disbursements,13,6621.6
