dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Auditing (City Controller's Office),General,114,0,2025,Actual,YTD,2024-09-30,114,City Controller's Office,61,
Aviation,General,0,0,2025,Actual,YTD,2024-09-30,0,Division of Aviation,43,Aviation
Board of Ethics,General,11,0,2025,Actual,YTD,2024-09-30,11,Board of Ethics,45,
Board of Pensions,General,0,0,2025,Actual,YTD,2024-09-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,17,0,2025,Actual,YTD,2024-09-30,17,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,184,0,2025,Actual,YTD,2024-09-30,184,City Commissioner's Office,73,City Commissioners
City Council,General,196,0,2025,Actual,YTD,2024-09-30,196,City Council,01,
City Treasurer,General,21,0,2025,Actual,YTD,2024-09-30,21,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2025,Actual,YTD,2024-09-30,2,Civil Service Commission,55,
Commerce,General,62,0,2025,Actual,YTD,2024-09-30,62,Office of the Director of Commerce,42,Commerce
Finance,General,123,0,2025,Actual,YTD,2024-09-30,123,Office of the Director of Finance,35,Finance
First Judicial District,General,1719,0,2025,Actual,YTD,2024-09-30,1719,First Judicial District,84,FJD
Fleet Services,General,274,0,2025,Actual,YTD,2024-09-30,274,Office of Fleet Management,25,Fleet
Free Library,General,851,0,2025,Actual,YTD,2024-09-30,851,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,34,0,2025,Actual,YTD,2024-09-30,34,Commission on Human Relations,54,Human Relations
Human Services (1),General,439,0,2025,Actual,YTD,2024-09-30,439,Department of Human Services,22,DHS
Labor,General,41,0,2025,Actual,YTD,2024-09-30,41,Labor,03,
Law,General,224,0,2025,Actual,YTD,2024-09-30,224,Law Department,44,Law
Licenses & Inspections,General,358,0,2025,Actual,YTD,2024-09-30,358,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2025,Actual,YTD,2024-09-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2025,Actual,YTD,2024-09-30,2,L&I: Board of Review,27,
Managing Director's Office,General,539,0,2025,Actual,YTD,2024-09-30,539,Managing Director's Office,10,MDO
Mayor's Office,General,81,0,2025,Actual,YTD,2024-09-30,81,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,41,0,2025,Actual,YTD,2024-09-30,41,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,10,0,2025,Actual,YTD,2024-09-30,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2025,Actual,YTD,2024-09-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,46,0,2025,Actual,YTD,2024-09-30,46,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,74,0,2025,Actual,YTD,2024-09-30,74,Office of the Chief Administrative Officer,65,CAO
Office of Education,General,3,0,2025,Actual,YTD,2024-09-30,3,Office of Children and Families,66,OCF
Office of Homeless Services,General,142,0,2025,Actual,YTD,2024-09-30,142,Office of Homeless Services,24,OHS
Office of Human Resources,General,92,0,2025,Actual,YTD,2024-09-30,92,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,367,0,2025,Actual,YTD,2024-09-30,367,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,18,0,2025,Actual,YTD,2024-09-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,General,181,0,2025,Actual,YTD,2024-09-30,181,Office of Property Assessment,59,OPA
Office of Sustainability,General,24,0,2025,Actual,YTD,2024-09-30,24,Office of Sustainability,49,Sustainability
Parks and Recreation,General,686,0,2025,Actual,YTD,2024-09-30,686,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,74,0,2025,Actual,YTD,2024-09-30,74,Department of Planning and Development,72,Planning & Development
Prisons,General,1339,0,2025,Actual,YTD,2024-09-30,1339,Philadelphia Prison System,23,Prisons
Procurement,General,34,0,2025,Actual,YTD,2024-09-30,34,Procurement Department,38,Procurement
Public Health,General,755,0,2025,Actual,YTD,2024-09-30,755,Department of Public Health,14,Public Health
Public Property,General,101,0,2025,Actual,YTD,2024-09-30,101,Department of Public Property,20,Public Property
Records,General,54,0,2025,Actual,YTD,2024-09-30,54,Department of Records,31,Records
Register of Wills,General,67,0,2025,Actual,YTD,2024-09-30,67,Register of Wills,68,
Revenue,General,344,0,2025,Actual,YTD,2024-09-30,344,Department of Revenue,36,Revenue
Sheriff,General,318,0,2025,Actual,YTD,2024-09-30,318,Office of the Sheriff,70,Sheriff
Streets,General,1578,0,2025,Actual,YTD,2024-09-30,1578,Streets Department,12,Streets
Water,General,0,0,2025,Actual,YTD,2024-09-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2025,Actual,YTD,2024-09-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2025,Actual,YTD,2024-09-30,0,City Controller's Office,61,
Aviation,Other,727,0,2025,Actual,YTD,2024-09-30,727,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2025,Actual,YTD,2024-09-30,0,Board of Ethics,45,
Board of Pensions,Other,57,0,2025,Actual,YTD,2024-09-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2025,Actual,YTD,2024-09-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,1,0,2025,Actual,YTD,2024-09-30,1,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2025,Actual,YTD,2024-09-30,0,City Council,01,
City Treasurer,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2025,Actual,YTD,2024-09-30,0,Civil Service Commission,55,
Commerce,Other,21,0,2025,Actual,YTD,2024-09-30,21,Office of the Director of Commerce,42,Commerce
Finance,Other,3,0,2025,Actual,YTD,2024-09-30,3,Office of the Director of Finance,35,Finance
First Judicial District,Other,380,0,2025,Actual,YTD,2024-09-30,380,First Judicial District,84,FJD
Fleet Services,Other,67,0,2025,Actual,YTD,2024-09-30,67,Office of Fleet Management,25,Fleet
Free Library,Other,7,0,2025,Actual,YTD,2024-09-30,7,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2025,Actual,YTD,2024-09-30,0,Commission on Human Relations,54,Human Relations
Human Services (1),Other,1072,0,2025,Actual,YTD,2024-09-30,1072,Department of Human Services,22,DHS
Labor,Other,0,0,2025,Actual,YTD,2024-09-30,0,Labor,03,
