0,1,2,3,4,5,6
Department / Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Adopted Budget
Office of Innovation and Technology-911,,,,,,
Personal Services,"1,449,309","1,728,732",0,"1,728,732","180,000","1,908,732"
Purchase of Services,"11,947,399","18,046,883",0,"18,046,883","2,669,973","20,716,856"
"Materials, Supplies & Equip.","533,972","8,064,399",0,"8,064,399","10,934,247","18,998,646"
Total,"13,930,680","27,840,014",0,"27,840,014","13,784,220","41,624,234"
Office of the Inspector General,,,,,,
Personal Services,"1,743,544","2,463,188","70,869","2,534,057",0,"2,534,057"
Purchase of Services,"124,681","374,695",0,"374,695","100,000","474,695"
"Materials, Supplies & Equip.","6,856","8,665",0,"8,665",0,"8,665"
Total,"1,875,081","2,846,548","70,869","2,917,417","100,000","3,017,417"
Office of Property Assessment,,,,,,
Personal Services,"13,645,565","16,021,562","794,369","16,815,931","(197,182)","16,618,749"
Purchase of Services,"1,613,162","1,926,020",0,"1,926,020","1,060,000","2,986,020"
"Materials, Supplies & Equip.","138,679","362,600",0,"362,600",0,"362,600"
Total,"15,397,406","18,310,182","794,369","19,104,551","862,818","19,967,369"
Office of Public Safety (9),,,,,,
Personal Services,0,0,0,0,"9,305,263","9,305,263"
Purchase of Services,0,0,0,0,"57,549,103","57,549,103"
"Materials, Supplies & Equip.",0,0,0,0,"318,880","318,880"
Total,0,0,0,0,"67,173,246","67,173,246"
Office of Public Safety-,,,,,,
Office of Prison Oversight (10),,,,,,
Personal Services,0,0,0,0,"1,021,158","1,021,158"
Purchase of Services,0,0,0,0,"349,027","349,027"
"Materials, Supplies & Equip.",0,0,0,0,"27,922","27,922"
Total,0,0,0,0,"1,398,107","1,398,107"
Office of Sustainability,,,,,,
Personal Services,"1,791,288","1,487,029","291,304","1,778,333","275,000","2,053,333"
Purchase of Services,"1,475,984","786,984",0,"786,984","237,500","1,024,484"
"Materials, Supplies & Equip.",300,"1,000",0,"1,000","1,500","2,500"
"Contrib., Indemnities & Taxes",0,0,0,0,0,0
Payments to Other Funds,"175,000","175,000",0,"175,000",0,"175,000"
Total,"3,442,572","2,450,013","291,304","2,741,317","514,000","3,255,317"
Parks and Recreation,,,,,,
Personal Services,"61,046,133","64,409,830","2,644,326","67,054,156","3,024","67,057,180"
Purchase of Services,"10,490,149","10,888,442","451,000","11,339,442","714,000","12,053,442"
"Materials, Supplies & Equip.","5,052,538","4,700,038","1,330,000","6,030,038","(1,325,000)","4,705,038"
"Contrib., Indemnities & Taxes","4,166,096","1,500,000","100,000","1,600,000","1,900,000","3,500,000"
Payments to Other Funds,"2,500,000",0,"4,321,865","4,321,865","(4,321,865)",0
Total,"83,254,916","81,498,310","8,847,191","90,345,501","(3,029,841)","87,315,660"
Planning and Development,,,,,,
Personal Services,"6,273,932","6,658,034","347,906","7,005,940","675,041","7,680,981"
Purchase of Services,"21,868,375","4,006,463","1,700,000","5,706,463","6,387,323","12,093,786"
"Materials, Supplies & Equip.","59,113","116,305",0,"116,305","513,745","630,050"
"Contrib., Indemnities & Taxes","4,527,905","7,000,000","(4,000,000)","3,000,000","4,000,000","7,000,000"
Total,"32,729,325","17,780,802","(1,952,094)","15,828,708","11,576,109","27,404,817"
Police,,,,,,
Personal Services,"760,098,007","841,047,186","(28,101,816)","812,945,370","21,994,681","834,940,051"
Purchase of Services,"13,739,378","19,504,171",0,"19,504,171","583,052","20,087,223"
"Materials, Supplies & Equip.","15,156,015","16,884,475","1,304,072","18,188,547","278,999","18,467,546"
"Contrib., Indemnities & Taxes","39,070,327",0,0,0,0,0
Payments to Other Funds,"45,000,000",0,0,0,0,0
Total,"873,063,727","877,435,832","(26,797,744)","850,638,088","22,856,732","873,494,820"
