0,1,2,3,4,5,6
Department /Agency,Fiscal Year 2024 Actual Obligations,Fiscal Year 2025 Adopted Obligations,Increase/ (Decrease),Fiscal Year 2025 Estimated Obligations,Increase/ (Decrease),Fiscal Year 2026 Proposed Budget
Public Property-Utilities,,,,,,
Purchase of Services,"28,534,487","26,276,250",0,"26,276,250","7,301,753","33,578,003"
Total,"28,534,487","26,276,250",0,"26,276,250","7,301,753","33,578,003"
Records,,,,,,
Personal Services,"3,334,130","3,623,071","186,316","3,809,387","(15,694)","3,793,693"
Purchase of Services,"736,883","829,122","(125,000)","704,122","125,000","829,122"
"Materials, Supplies & Equip.","297,399","143,758",0,"143,758",0,"143,758"
Total,"4,368,412","4,595,951","61,316","4,657,267","109,306","4,766,573"
Register of Wills,,,,,,
Personal Services,"4,353,222","5,200,243","192,044","5,392,287","1,252","5,393,539"
Purchase of Services,"420,549","421,959",0,"421,959",0,"421,959"
"Materials, Supplies & Equip.","146,488","152,596",0,"152,596",0,"152,596"
"Contrib., Indemnities & Taxes","125,000",0,0,0,0,0
Total,"5,045,259","5,774,798","192,044","5,966,842","1,252","5,968,094"
Revenue,,,,,,
Personal Services,"20,884,903","23,701,664","1,176,664","24,878,328","(1,198,483)","23,679,845"
Purchase of Services,"3,885,769","5,946,686",0,"5,946,686","(882,037)","5,064,649"
"Materials, Supplies & Equip.","944,391","2,349,045",0,"2,349,045","(280,000)","2,069,045"
"Contrib., Indemnities & Taxes","20,802",0,0,0,0,0
Total,"25,735,865","31,997,395","1,176,664","33,174,059","(2,360,520)","30,813,539"
Sanitation-Disposal,,,,,,
Purchase of Services,"55,899,306","59,589,127",0,"59,589,127","3,649,037","63,238,164"
Total,"55,899,306","59,589,127",0,"59,589,127","3,649,037","63,238,164"
Sanitation,,,,,,
Personal Services,"84,026,833","96,254,427","4,797,972","101,052,399","6,082,272","107,134,671"
Purchase of Services,"4,002,932","2,796,616",0,"2,796,616","1,025,000","3,821,616"
"Materials, Supplies & Equip.","50,563,602","8,437,104",0,"8,437,104","(2,670,472)","5,766,632"
"Contrib., Indemnities & Taxes","8,757,927","53,171",0,"53,171",0,"53,171"
Total,"147,351,294","107,541,318","4,797,972","112,339,290","4,436,800","116,776,090"
Sheriff,,,,,,
Personal Services,"29,119,333","31,732,741","201,007","31,933,748","(383,148)","31,550,600"
Purchase of Services,"2,760,424","2,647,080","300,000","2,947,080","(300,000)","2,647,080"
"Materials, Supplies & Equip.","949,663","1,287,133","(300,000)","987,133","300,000","1,287,133"
"Contrib., Indemnities & Taxes","51,643",0,0,0,0,0
Total,"32,881,063","35,666,954","201,007","35,867,961","(383,148)","35,484,813"
Sinking Fund Commission (Debt Service),,,,,,
Purchase of Services,"105,287,151","120,860,169",0,"120,860,169","52,416,815","173,276,984"
Debt Service,"189,137,695","234,667,304","(4,250,000)","230,417,304","1,078,182","231,495,486"
Total,"294,424,846","355,527,473","(4,250,000)","351,277,473","53,494,997","404,772,470"
,,,,,,
"Total, General Fund","6,134,734,538","6,367,483,000","228,424,038","6,595,907,038","148,666,962","6,744,574,000"
