0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.8,2.6,7.3,10.3,7.4,31.8,36.6,86.6,491.7,132.0,19.1,10.7,845.9,,,845.9
"Total Wage, Earnings, Net Profits",166.3,130.8,131.8,180.8,141.9,132.6,193.7,138.7,158.3,185.3,145.0,131.5,"1,836.7",,,1836.7
Realty Transfer Tax,29.7,23.8,23.8,"20,7","19,8",22.2,22.0,15.3,23.1,21.1,22.8,20.8,265.1,,,265.1
Sales Tax,32.8,39.9,16.1,"0,0",34.5,17.0,16.7,20.5,30.5,37.5,"38,7",35.0,319.3,1.8,,321.0
Business Income & Receipts Tax,23.5,6.4,30.3,"34,9",5.1,27.0,29.9,6.8,"67,7",317.9,75.0,25.0,649.3,,,649.3
Beverage Tax,6.3,5.9,6.3,5.9,6.3,6.3,6.5,5.5,6.0,6.7,6.5,6.2,74.4,,,74.4
Other Taxes,(3.7),10.8,8.5,4.4,1.8,3.5,3.6,3.5,3.3,3.8,3.0,2.7,45.0,,,45.0
Locally Generated Non-tax,43.1,39.8,45.6,25.4,34.5,30.5,34.5,29.0,33.9,28.6,38.9,22.8,406.7,,,406.7
"Total Other Governments, Excluding PICA Tax",1.3,72.6,100.4,29.4,8.0,1.1,22.5,58.9,18.7,18.4,16.7,6.4,354.3,2.0,,356.3
Total PICA Other Governments,50.2,56.0,53.4,54.5,54.9,53.7,59.0,59.9,62.4,66.8,66.4,48.0,685.1,0.0,,685.1
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.8,0.0,0.0,25.9,"416,7",,42.2,458.8
Total Current Revenue,359.5,388.5,423.4,366.3,314.1,325.7,425.1,424.7,"1,286.5",818.0,431.9,334.9,"5,898.5",3.8,42.2,5944.4
Collection of prior year(s) revenue,22.2,0.0,0.0,(32.0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(9.8),,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,381.7,388.5,423.4,334.3,314.1,325.7,425.1,"424,7","1,286.5",818.0,431.9,334.9,"5,888.7",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Payable,brances,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,107.5,159.6,164.8,150.9,169.1,242.1,169.1,168.3,186.5,169.1,242.1,174.3,"2,103.5",68.1,,
Employee Benefits,73.0,46.4,49.1,64.3,60.7,87.3,60.7,60.4,66.5,60.7,84.5,62.6,776.2,16.1,,
Pension,0.8,(4.9),11.2,89.3,(0.3),3.2,(0.3),(0.3),679.3,(0.6),(0.5),(4.6),772.3,95.9,,
Purchase of Services,35.9,91.3,67.4,104.9,96.7,114.2,90.1,88.5,130.6,120.8,129.6,106.1,"1,176.1","37,7",,
"Materials, Equipment",2.7,6.4,6.7,7.9,11.0,11.8,12.2,11.0,13.1,14.0,13.2,13.7,123.9,3.0,,
"Contributions, Indemnities",21.2,9.7,77.1,18.5,18.6,96.2,9.4,17.2,74.5,8.0,4.7,85.0,440.0,,,
Debt Service-Short Term,0.1,0.0,0.1,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,2.0,2.2,,,
Debt Service-Long Term,125.7,0.0,0.0,6.3,0.2,0.2,5.1,56.3,0.2,0.2,0.2,5.1,199.4,,,
Interfund Charges,0.4,30.6,42.3,0.0,10.0,38.3,0.0,0.0,0.0,"0,0","0,0",1.1,122.6,40.6,,
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,"8,3",8.3,8.3,8.3,8.3,8.3,8.3,8.4,66.5,,,
Current Year Appropriation,367.4,339.1,418.6,442.1,"374,3",601.6,354.6,409.6,"1,159.1",380.5,"482,0",453.8,"5,782.8",261.4,,
Prior Yr. Expenditures against Encumbrances,45.2,58.3,22.1,22.1,"13,7",10.9,13.7,15.7,12.7,6.8,"4,7",5.2,231.2,,,
Prior Yr. Salaries & Vouchers Payable,(38.3),22.8,(16.8),7.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,2.3,(2.5),,,
TOTAL DISBURSEMENTS,374.4,420.2,423.8,471.8,408.1,612.5,368.2,425.4,"1,171.8",387.3,486.7,461.3,"6,011.4",,,
Excess (Def) of Receipts over Disbursements,7.3,(31.7),(0.5),(137.5),(94.0),(286.8),56.9,(0.7),114.6,430.8,(54.9),(126.4),,,,
Opening Balance,"1,802.2","1,809.6","1,777.9","1,777.4","1,640.0","1,546.0","1,259.2","1,316.1","1,315.4","1,430.0","1,860.8","1,805.9",,,,
TRAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CLOSING BALANCE,"1,809.6","1,777.9","1,777.4","1,640.0","1,546.0","1,259.2","1,316.1","1,315.4","1,430.0","1,860.8","1,805.9","1,679.5",,,,
