0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,"2,251.5","2,102.2","2,187.1","2,006.7","1,837.5","1,720.7","1,744.5","1,653.9","1,434.9","1,857.4","1,755.6","1,645.7"
Grants Revenue,(91.5),3.8,(4.7),(25.3),41.8,(10.6),54.0,161.4,121.4,246.4,193.0,125.9
Community Development,0.1,12.4,8.3,10.0,(5.5),(9.7),(7.5),(5.5),(6.6),(1.0),(1.2),0.0
Vehicle Rental Tax,9.2,10.0,3.8,4.5,5.6,6.1,6.5,6.9,7.4,7.7,8.1,8.6
Hospital Assessment Fund,20.0,19.4,14.4,13.5,21.8,49.9,20.9,20.6,34.6,22.5,47.5,29.8
Housing Trust Fund,104.7,99.6,131.1,129.8,126.0,123.9,121.8,119.7,117.6,115.5,113.4,111.3
Transportation Fund,29.6,31.0,35.8,38.2,41.2,44.2,47.2,50.2,53.2,56.2,59.2,34.2
Budget Stabilization Fund,112.8,112.8,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,171.1,176.1
Other Funds,19.0,16.8,17.4,16.5,16.2,16.0,15.9,15.7,15.6,15.4,15.3,15.1
TOTAL OPERATING FUNDS,"2,455.4","2,408.0","2,564.3","2,365.0","2,255.6","2,111.5","2,174.4","2,193.9","1,949.0","2,491.2","2,362.0","2,146.8"
Capital Improvement,287.5,259.7,234.7,226.5,171.5,156.5,141.5,146.5,131.5,116.5,101.5,86.5
Industrial & Commercial Dev.,11.1,11.2,11.2,11.2,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.4
TOTAL CAPITAL FUNDS,298.6,270.8,245.9,237.8,182.8,167.8,152.8,157.8,142.9,127.9,112.9,97.9
TOTAL FUND EQUITY,"2,754.0","2,678.9","2,810.1","2,602.7","2,438.4","2,279.3","2,327.3","2,351.8","2,091.9","2,619.1","2,474.9","2,244.8"
