0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"2,142,000","660,500","660,500",0,"2,642,000","2,642,000","2,642,000",0,0
Auditing (City Controller's Office),"10,254,412","5,637,216","5,637,216",0,"11,148,245","11,614,712","11,844,706","(696,461)","(229,994)"
Board of Ethics,"1,048,993","572,262","572,262",0,"1,382,433","1,430,109","1,430,109","(47,676)",0
Board of Revision of Taxes,"1,211,595","590,598","590,598",0,"1,147,431","1,188,388","1,253,351","(105,920)","(64,963)"
City Commissioners (Election Board),"26,853,789","21,947,645","21,947,645",0,"33,404,298","33,548,492","33,864,403","(460,105)","(315,911)"
City Council,"19,436,356","10,844,701","10,844,701",0,"25,001,418","25,569,327","25,569,327","(567,909)",0
City Treasurer,"4,175,412","1,114,493","1,114,493",0,"5,289,652","5,364,931","5,372,215","(82,563)","(7,284)"
Civil Service Commission,"186,387","108,305","108,305",0,"43,718,661","51,161,339","43,554,696","163,965","7,606,643"
Commerce,"15,503,637","5,768,150","5,768,150",0,"13,922,041","14,131,053","15,636,521","(1,714,480)","(1,505,468)"
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"22,984,879","27,148,432","27,148,432",0,"32,795,294","32,795,294","34,695,294","(1,900,000)","(1,900,000)"
District Attorney,"54,119,070","29,083,314","29,083,314",0,"54,286,779","56,173,526","57,496,159","(3,209,380)","(1,322,633)"
Finance,"122,458,048","13,014,247","13,014,247",0,"27,587,281","47,693,785","38,073,438","(10,486,157)","9,620,347"
Finance-Budget Stabilization Reserve,"42,261,000","58,291,000","58,291,000",0,"58,291,000","58,291,000","58,291,000",0,0
Finance-Disability-Reg #32 Payroll,"6,475,123","6,941,908","6,941,908",0,"7,200,000","7,200,000","7,200,000",0,0
Finance-Grant Match and Federal Reserve,0,0,0,0,0,"15,000,000","95,000,000","(95,000,000)","(80,000,000)"
Finance-Community College Subsidy,"58,983,448","56,003,181","56,003,181",0,"56,003,181","56,003,181","56,003,181",0,0
Finance Employee Benefits (1),"1,663,428,148","489,216,266","489,216,266",0,"1,677,120,077","1,677,970,077","1,656,372,555","20,747,522","21,597,522"
Unemployment Compensation,"1,887,093","1,296,739","1,296,739",0,"4,600,000","4,600,000","4,600,000",0,0
Employee Disability,"90,003,981","57,307,433","57,307,433",0,"112,137,837","112,137,837","112,137,837",0,0
Pension Obligation Bonds,"120,990,284","7,622,435","7,622,435",0,"129,721,808","129,721,808","121,031,876","8,689,932","8,689,932"
Pension,"746,663,288","82,289,289","82,289,289",0,"603,457,000","603,457,000","601,540,794","1,916,206","1,916,206"
Pension-Sales Tax,"90,015,546",0,0,0,"98,468,153","98,468,153","93,676,769","4,791,384","4,791,384"
Pension-Plan 10,"1,237,889","1,074,989","1,074,989",0,"1,500,000","1,500,000","1,500,000",0,0
FICA,"97,955,333","49,937,887","49,937,887",0,"101,729,695","101,729,695","101,729,695",0,0
Flex Cash Payments,"1,139,318",(810),(810),0,"1,700,000","1,700,000","1,700,000",0,0
Health / Medical,"502,178,667","283,515,325","283,515,325",0,"607,955,584","608,805,584","602,605,584","5,350,000","6,200,000"
Group Life Insurance,"4,671,891","2,319,544","2,319,544",0,"9,000,000","9,000,000","9,000,000",0,0
Group Legal,"6,525,108","3,697,010","3,697,010",0,"6,500,000","6,500,000","6,500,000",0,0
Tool Allowance,"159,750","156,425","156,425",0,"350,000","350,000","350,000",0,0
Finance-Hero Scholarship Awards,"22,000",0,0,0,"50,000","50,000","50,000",0,0
Finance-Payment to Housing Trust Fund,"30,612,698","31,390,926","31,390,926",0,"31,006,714","31,390,926","31,390,926","(384,212)",0
Finance-Indemnities (2),"(6,432,629)","51,180,697","51,180,697",0,"61,246,000","111,246,000","86,246,000","(25,000,000)","25,000,000"
Finance-Refunds,"238,134","19,542","19,542",0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"282,052,590","142,026,295","142,026,295",0,"284,052,590","284,052,590","284,052,590",0,0
Finance-Witness Fees,"179,100","94,009","94,009",0,"180,094","180,094","180,094",0,0
Fire,"411,328,135","204,027,938","204,027,938",0,"432,093,306","432,316,274","441,188,963","(9,095,657)","(8,872,689)"
First Judicial District,"128,755,233","59,308,278","59,308,278",0,"129,901,368","133,791,353","134,046,830","(4,145,462)","(255,477)"
Fleet Services,"56,747,082","35,052,352","35,052,352",0,"52,312,815","58,621,754","60,002,875","(7,690,060)","(1,381,121)"
Fleet Services Vehicle Purchases,"41,044,910","5,410,174","5,410,174",0,"6,047,245","11,347,245","25,343,145","(19,295,900)","(13,995,900)"
Free Library,"59,443,608","33,183,398","33,183,398",0,"71,703,640","73,274,439","74,620,360","(2,916,720)","(1,345,921)"
Human Relations Commission,"2,540,360","1,387,180","1,387,180",0,"2,758,676","2,897,239","2,909,959","(151,283)","(12,720)"
Human Services,"216,594,318","169,004,041","169,004,041",0,"222,404,818","224,064,315","224,277,186","(1,872,368)","(212,871)"
Labor,"4,043,151","1,928,103","1,928,103",0,"4,653,592","4,787,518","5,581,027","(927,435)","(793,509)"
Law,"33,088,597","18,744,890","18,744,890",0,"29,701,870","32,036,122","35,498,385","(5,796,515)","(3,462,263)"
