0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2024 YEAR TO DATE,,,,FY 2024 FULL YEAR,,
Department/Category,FY 21 Year End,FY 22 Year End,FY 23 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,,,,
Full-Time Positions,37,35,53,56,56,0,80,80,80,0,0
Class 100 Total Oblig./Approp.,"2,499,341","2,601,371","3,614,784","960,148","960,148",0,"5,767,611","5,767,611","5,767,611",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,"2,500",0,"2,500","10,000","10,000","10,000",0,0
District Attorney,,,,,,,,,,,
Full-Time Positions,521,503,573,615,615,0,605,605,605,0,0
Class 100 Total Oblig./Approp.,"38,421,902","39,764,411","43,824,953","10,306,961","10,306,961",0,"46,912,929","46,912,929","49,912,929","(3,000,000)","(3,000,000)"
Class 100 Overtime Oblig./Approp.,"141,860","169,371","169,935","46,250","157,270","(111,020)","185,000","185,000","185,000",0,0
Finance,,,,,,,,,,,
Full-Time Positions,119,122,121,126,126,0,139,139,139,0,0
Class 100 Total Oblig./Approp.,"9,293,924","9,986,109","10,658,385","2,557,531","2,557,531",0,"11,795,202","11,795,202","11,795,202",0,0
Class 100 Overtime Oblig./Approp.,"128,747","125,778","117,808","36,250","23,194","13,056","145,000","145,000","145,000",0,0
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,167,137","2,497,028","4,334,997","2,107,020","2,107,020",0,"5,200,000","5,200,000","5,200,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,678","2,667","2,794","2,802","2,802",0,"3,392","3,392","3,392",0,0
Class 100 Total Oblig./Approp.,"318,512,653","341,171,247","354,132,093","77,690,406","77,690,406",0,"365,611,225","365,611,225","365,611,225",0,0
Class 100 Overtime Oblig./Approp.,"62,597,682","68,452,340","72,511,849","19,140,037","15,871,644","3,268,393","76,560,145","76,560,145","76,560,145",0,0
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,773","1,686","1,685","1,695","1,695",0,"1,720","1,720","1,720",0,0
Class 100 Total Oblig./Approp.,"102,667,998","101,924,504","102,223,039","24,050,531","24,050,531",0,"116,833,778","116,833,778","116,833,778",0,0
Class 100 Overtime Oblig./Approp.,"12,832","14,688","67,109","24,135","18,248","5,887","96,540","96,540","96,540",0,0
Fleet Services,,,,,,,,,,,
Full-Time Positions,268,266,266,272,272,0,319,319,319,0,0
Class 100 Total Oblig./Approp.,"17,982,245","18,075,554","19,228,085","4,620,290","4,620,290",0,"21,146,675","21,146,675","21,146,675",0,0
Class 100 Overtime Oblig./Approp.,"1,413,920","1,986,852","3,123,330","769,098","552,985","216,113","3,076,391","3,076,391","3,076,391",0,0
