0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2025 YEAR TO DATE,,,,FY 2025 FULL YEAR,,
Department / Category,FY 22 Year End,FY 23 Year End,FY 24 Unaudited,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Records,,,,,,,,,,,
Full-Time Positions,54,53,55,54,54,0,60,60,60,0,0
Class 100 Total Oblig./Approp.,"3,202,359","3,229,777","3,334,130","752,020","752,020",0,"3,623,071","3,623,071","3,710,925","(87,854)","(87,854)"
Class 100 Overtime Oblig./Approp.,"282,392","183,184","139,352","21,745","35,373","(13,628)","86,981","86,981","86,981",0,0
Register of Wills,,,,,,,,,,,
Full-Time Positions,67,63,64,67,67,0,85,85,85,0,0
Class 100 Total Oblig./Approp.,"4,221,694","4,089,933","4,353,222","924,630","924,630",0,"5,200,243","5,200,243","5,281,835","(81,592)","(81,592)"
Class 100 Overtime Oblig./Approp.,"5,641",0,513,0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,328,327,341,344,344,0,400,400,400,0,0
Class 100 Total Oblig./Approp.,"20,432,060","20,382,438","20,884,903","5,650,939","5,650,939",0,"23,701,664","23,701,664","24,430,601","(728,937)","(728,937)"
Class 100 Overtime Oblig./Approp.,"339,671","398,174","366,163","117,500","36,065","81,435","470,000","470,000","470,000",0,0
Sheriff,,,,,,,,,,,
Full-Time Positions,343,328,318,318,318,0,459,459,459,0,0
Class 100 Total Oblig./Approp.,"26,834,747","28,108,343","29,119,333","6,949,426","6,949,426",0,"31,732,741","31,732,741","31,858,417","(125,676)","(125,676)"
Class 100 Overtime Oblig./Approp.,"4,021,949","5,238,972","6,300,220","1,500,000","1,486,936","13,064","6,000,000","6,000,000","6,000,000",0,0
Streets,,,,,,,,,,,
Full-Time Positions,"2,072","2,068","1,495","1,578","1,578",0,"1,885","1,885","1,885",0,0
Class 100 Total Oblig./Approp.,"99,660,073","110,599,547","84,026,833","21,086,691","21,086,691",0,"96,254,427","96,254,427","96,665,575","(411,148)","(411,148)"
Class 100 Overtime Oblig./Approp.,"17,741,782","16,970,691","17,088,338","4,520,750","4,108,608","412,142","18,083,000","18,083,000","18,083,000",0,0
,,,,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,,,,
Full-Time Positions,"21,055","21,271","20,865","21,242","21,242",0,"25,932","25,932","25,932",0,0
Class 100 Total Oblig./Approp.,"1,890,714,287","1,975,600,771","2,038,411,191","474,218,139","474,218,139",0,"2,279,090,769","2,279,090,769","2,305,801,535","(26,710,766)","(26,710,766)"
Class 100 Overtime Oblig./Approp.,"215,014,701","249,647,862","263,782,463","71,134,091","70,379,531","754,560","284,536,356","284,536,356","285,104,356","(568,000)","(568,000)"
