0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2023,,,,,FISCAL YEAR 2024,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Office of the Chief Administrative Officer,73,0,73,76,0,76,69,0,69,7
Office of Children and Families,5,0,5,3,0,3,3,0,3,0
Office of Homeless Services,113,16,129,149,40,189,129,21,150,39
Office of Human Resources,82,0,82,96,0,96,91,0,91,5
Office of Innovation and Technology,349,106,455,398,159,557,369,108,477,80
Office of the Inspector General,18,0,18,26,0,26,18,0,18,8
Office of Property Assessment,182,0,182,226,0,226,178,0,178,48
Office of Sustainability,18,2,20,23,1,24,23,2,25,(1)
Parks and Recreation,678,25,703,945,32,977,680,18,698,279
Planning & Development,66,62,128,83,67,150,78,66,144,6
Police Total,"6,351",124,"6,475","7,483",273,"7,756","6,204",109,"6,313","1,443"
Civilian,801,7,808,"1,103",131,"1,234",866,6,872,362
Uniform,"5,550",117,"5,667","6,380",142,"6,522","5,338",103,"5,441","1,081"
Prisons,"1,312",0,"1,312","2,186",0,"2,186","1,266",0,"1,266",920
Procurement,36,0,36,54,2,56,36,0,36,20
Public Health,690,168,858,864,217,"1,081",730,184,914,167
Public Property,119,0,119,176,0,176,125,0,125,51
Records,53,0,53,60,0,60,55,0,55,5
Register of Wills,63,0,63,73,0,73,64,0,64,9
Revenue,327,170,497,401,221,622,341,186,527,95
Sheriff,328,0,328,459,0,459,318,0,318,141
Streets,"2,068",2,"2,070","1,688",809,"2,497","1,495",657,"2,152",345
Water,0,"1,991","1,991",0,"2,505","2,505",0,"2,022","2,022",483
"Water,Sewer & Stormwater Rate Board",0,0,0,0,1,1,0,0,0,1
,,,,,,,,,,
TOTAL ALL FUNDS,"21,271","5,321","26,592","25,185","7,846","33,031","20,865","6,254","27,119","5,912"
