0,1,2,3,4,5,6,7,8,9,10
,FISCAL,YEAR 2024,,,,,FISCAL YEAR 2025,,,
,YEAR,END ACTUAL,,ADOPTED,BUDGET,,MONTH,END ACTUAL,,MONTH END
Department,General,Other,Total,General,Other,Total,General,Other,Total,ACTUAL (OVER) UNDER BUDGET
Auditing (City Controller's Office),113,0,113,138,0,138,114,0,114,24
Aviation,0,679,679,0,900,900,0,727,727,173
Board of Ethics,10,0,10,14,0,14,11,0,11,3
Board of Pensions,0,59,59,0,73,73,0,57,57,16
Board of Revision of Taxes,17,0,17,17,0,17,17,0,17,0
City Commissioners (Election Board),159,0,159,200,0,200,184,1,185,15
City Council,198,0,198,215,0,215,196,0,196,19
City Treasurer,19,0,19,23,0,23,21,0,21,2
Civil Service Commission,2,0,2,2,0,2,2,0,2,0
Commerce,58,21,79,84,24,108,62,21,83,25
District Attorney Total,563,114,677,642,70,712,602,103,705,7
Civilian,530,109,639,608,64,672,568,99,667,5
Uniform,33,5,38,34,6,40,34,4,38,2
Finance,126,0,126,142,5,147,123,3,126,21
Fire Total,"2,815",72,"2,887","3,392",81,"3,473","2,787",69,"2,856",617
Civilian,135,1,136,177,1,178,133,0,133,45
Uniform,"2,680",71,"2,751","3,215",80,"3,295","2,654",69,"2,723",572
First Judicial District,"1,707",382,"2,089","1,710",439,"2,149","1,719",380,"2,099",50
Fleet Services,269,62,331,319,84,403,274,67,341,62
Free Library,814,7,821,"1,009",8,"1,017",851,7,858,159
Human Relations Commission,34,0,34,35,0,35,34,0,34,1
Human Services (1),441,"1,076","1,517",551,"1,347","1,898",439,"1,072","1,511",387
Labor,36,0,36,57,0,57,41,0,41,16
Law,223,48,271,226,51,277,224,50,274,3
Licenses & Inspections,351,7,358,441,8,449,358,7,365,84
L&I-Board of Building Standards,2,0,2,1,0,1,1,0,1,0
L&I-Board of L & I Review,1,0,1,2,0,2,2,0,2,0
Managing Director's Office,475,93,568,645,71,716,539,85,624,92
Mayor's Office,93,0,93,113,0,113,81,0,81,32
Mayor's Office-Comm. Empowerment & Opp.,13,37,50,50,59,109,41,33,74,35
Mural Arts Program,10,0,10,10,0,10,10,0,10,0
Office of Arts and Culture,0,0,0,9,0,9,0,0,0,9
Office of Behavioral HIth & Intellectual disAbility,44,224,268,53,288,341,46,234,280,61
