dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,-500000.0,0.0,0.0,0.0,-500000.0,2026,Art Museum,34,,34
Auditing (City Controller),61428.0,-150000.0,0.0,0.0,0.0,0.0,0.0,-88572.0,2026,City Controller's Office,61,,61
Board of Ethics,-3066.0,0.0,0.0,0.0,0.0,0.0,0.0,-3066.0,2026,Board of Ethics,45,,45
Board of Revision of Taxes,-725.0,0.0,0.0,0.0,0.0,0.0,0.0,-725.0,2026,Board of Revision of Taxes,63,BRT,63
Citizens Police Oversight Commission,2286030.0,808002.0,12000.0,0.0,0.0,0.0,0.0,3106032.0,2026,Citizens Police Oversight Commission,74,CPOC,74
City Commissioners,-1253495.0,-3232864.0,-263966.0,0.0,0.0,0.0,0.0,-4750325.0,2026,City Commissioner's Office,73,City Commissioners,73
City Council,1000000.0,-673906.0,-111068.0,0.0,0.0,0.0,0.0,215026.0,2026,City Council,01,,01
City Representative,1529682.0,1252500.0,170000.0,0.0,0.0,0.0,0.0,2952182.0,2026,Office of the City Representative,41,City Rep,41
City Treasurer,-10416.0,0.0,0.0,0.0,0.0,0.0,0.0,-10416.0,2026,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,-438.0,0.0,0.0,0.0,0.0,0.0,101577000.0,101576562.0,2026,Civil Service Commission,55,,55
Commerce,1984513.0,-638800.0,31187.0,-500000.0,0.0,0.0,0.0,876900.0,2026,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,43520000.0,0.0,0.0,0.0,0.0,0.0,43520000.0,2026,Commerce: Economic Stimulus,42-ES,,42
District Attorney,432985.0,463320.0,0.0,0.0,0.0,0.0,0.0,896305.0,2026,District Attorney's Office,69,DAO,69
Finance,6783654.0,599830.0,0.0,1849819.0,0.0,-2358224.0,0.0,6875079.0,2026,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,569000.0,0.0,569000.0,2026,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,-2000000.0,2026,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,89215080.0,0.0,0.0,0.0,0.0,0.0,0.0,89215080.0,2026,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,-25000000.0,0.0,0.0,0.0,-25000000.0,2026,Finance: Indemnities,35-IN,,35
Finance-Payment to Housing Trust Fund,0.0,0.0,0.0,0.0,0.0,1874166.0,0.0,1874166.0,2026,Finance: Housing Trust Fund,35-HTF,,35
Finance-Refunds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Finance: Refunds,35-R,,35
Finance-Reg #32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,Finance: Witness Fees,35-WF,,35
Fire,-4580287.0,1161682.0,-6329457.0,0.0,0.0,280934.0,0.0,-9467128.0,2026,Fire Department,13,Fire,13
First Judicial District,-1228531.0,-150000.0,0.0,0.0,0.0,0.0,0.0,-1378531.0,2026,First Judicial District,84,FJD,84
Fleet Services,241422.0,0.0,1255662.0,0.0,0.0,0.0,0.0,1497084.0,2026,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,-8983900.0,0.0,0.0,0.0,0.0,-8983900.0,2026,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,-163225.0,25000.0,182453.0,0.0,0.0,0.0,0.0,44228.0,2026,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,10899.0,0.0,0.0,0.0,0.0,0.0,0.0,10899.0,2026,Commission on Human Relations,54,Human Relations,54
Human Services,-3145616.0,8210315.0,-134937.0,0.0,0.0,0.0,0.0,4929762.0,2026,Department of Human Services,22,DHS,22
