name,aug_fy24,aug_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,-250.0,,1750.0,4322030.0,-4320280.0,,
traffic_fines,174108.0,171448.0,332242.0,357181.0,-24939.0,,
other_fines,1295981.0,1149968.0,1915221.0,1882943.0,32278.0,,
reimbursements,4306896.0,6474104.0,10155164.0,9044938.0,1110226.0,,
asset_sales,,839.0,,839.0,-839.0,,
payments_in_lieu_of_taxes,,,142438.0,998140.0,-855702.0,,
cable_television,2839921.0,1528155.0,2839921.0,1528155.0,1311766.0,,
emergency_medical_services,4756637.0,3512574.0,9423776.0,6591973.0,2831802.0,,
commercial_trash_fee,768089.0,743931.0,1757647.0,1930707.0,-173061.0,,
interest_earnings,-2250919.0,7238134.0,12794269.0,9229120.0,3565149.0,,
licenses_and_inspection_fees,6410817.0,6102030.0,13045092.0,10313723.0,2731369.0,,
streets,74421.0,1290408.0,292365.0,2546362.0,-2253997.0,,
health,2887168.0,5450602.0,5829065.0,13265089.0,-7436025.0,,
sheriff,,,1500000.0,-7206.0,1507206.0,,
records,1411821.0,1746844.0,2690191.0,3487071.0,-796880.0,,
court_related_costs,1801586.0,2044333.0,3703015.0,3824495.0,-121481.0,,
miscellaneous,1390995.0,982539.0,2578516.0,2721016.0,-142500.0,,
total_local_nontax_revenue,25867269.0,38435910.0,69000671.0,72036577.0,-3035907.0,317732329.0,17.84
