name,sep_fy24,sep_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,6964956.0,265.0,6966706.0,4322295.0,2644411.0,,
traffic_fines,198374.0,144440.0,530616.0,501621.0,28995.0,,
other_fines,457740.0,744092.0,2372961.0,2627034.0,-254073.0,,
reimbursements,7306329.0,6295137.0,17461493.0,15340075.0,2121418.0,,
asset_sales,279852.0,50461.0,279852.0,51300.0,228552.0,,
payments_in_lieu_of_taxes,,23993.0,142438.0,1022133.0,-879695.0,,
cable_television,,3014992.0,2839921.0,4543147.0,-1703226.0,,
emergency_medical_services,2303442.0,4924127.0,11727217.0,11516100.0,211117.0,,
commercial_trash_fee,561026.0,496397.0,2318673.0,2427105.0,-108431.0,,
interest_earnings,2168287.0,4451672.0,14962556.0,13680792.0,1281764.0,,
licenses_and_inspection_fees,5355658.0,4035236.0,18400750.0,14348959.0,4051791.0,,
streets,57023.0,1048979.0,349388.0,3595341.0,-3245953.0,,
health,4601337.0,3792185.0,10430401.0,17057274.0,-6626873.0,,
sheriff,,-300.0,1500000.0,-7506.0,1507506.0,,
records,1331065.0,1376148.0,4021257.0,4863219.0,-841962.0,,
court_related_costs,2271914.0,2361571.0,5880373.0,6186067.0,-305694.0,,
miscellaneous,1026343.0,2086856.0,3699264.0,4807872.0,-1108608.0,,
total_local_nontax_revenue,34883346.0,34846252.0,103883866.0,106882830.0,-2998963.0,282849134.0,26.86
