name,sep_fy24,sep_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5839640.0,3555038.0,13623625.0,18724257.0,-5100631.0,803560375.0,1.67,current
real_estate,1462832.0,1687522.0,6092700.0,8720139.0,-2627439.0,22606300.0,21.23,prior
real_estate,7302472.0,5242559.0,19716325.0,27444396.0,-7728070.0,826166675.0,2.33,total
wage_city,130519261.0,108793904.0,431247503.0,403996738.0,27250765.0,1318498497.0,24.65,current
wage_city,-1771361.0,-4594841.0,-9184836.0,-19361771.0,10176936.0,12584836.0,-270.14,prior
wage_city,128747900.0,104199063.0,422062667.0,384634967.0,37427700.0,1331083333.0,24.07,total
wage_pica,45924420.0,38749882.0,153060304.0,143088628.0,9971676.0,466740553.0,24.7,current
wage_pica,-321643.0,-1520336.0,124519.0,-6406404.0,6530923.0,,,prior
wage_pica,45602777.0,37229546.0,153184823.0,136682224.0,16502598.0,468690677.0,24.63,total
wage,174350677.0,141428609.0,575247490.0,521317191.0,53930299.0,1799774010.0,24.22,total
earnings_city,77977.0,145949.0,485402.0,1069971.0,-584568.0,11514598.0,4.05,current
earnings_city,382541.0,309315.0,1208547.0,870765.0,337782.0,791453.0,60.43,prior
earnings_city,460518.0,455264.0,1693949.0,1940735.0,-246786.0,12306051.0,12.1,total
earnings_pica,256636.0,94727.0,966721.0,618170.0,348551.0,5159171.0,15.78,current
earnings_pica,,170837.0,,480929.0,-480929.0,,,prior
earnings_pica,256636.0,265564.0,966721.0,1099099.0,-132379.0,7659780.0,11.21,total
earnings,717154.0,720828.0,2660670.0,3039835.0,-379165.0,19965831.0,11.76,total
net_profits_city,1297022.0,2973637.0,1868331.0,5644468.0,-3776137.0,40471669.0,4.41,current
net_profits_city,1252089.0,217878.0,3214582.0,800837.0,2413745.0,1485418.0,68.4,prior
net_profits_city,2549112.0,3191515.0,5082913.0,6445305.0,-1362392.0,41957087.0,10.81,total
net_profits_pica,2631514.0,2844822.0,5249181.0,5347788.0,-98606.0,31945493.0,14.11,current
net_profits_pica,90.0,197602.0,253.0,726312.0,-726059.0,7399072.0,0.0,prior
net_profits_pica,2631604.0,3042424.0,5249434.0,6074100.0,-824665.0,39344566.0,11.77,total
net_profits,5180715.0,6233939.0,10332348.0,12519405.0,-2187057.0,81301652.0,11.28,total
wage_earnings_net_profits,180248546.0,148383375.0,588240507.0,536876430.0,51364077.0,1901041493.0,23.63,total
wage_earnings_net_profits_pica,48491017.0,40537534.0,159400978.0,143855423.0,15545554.0,515695022.0,23.61,total
wage_earnings_net_profits_city,131757529.0,107845841.0,428839529.0,393021007.0,35818522.0,1385346471.0,23.64,total
birt,27833026.0,35357107.0,49529519.0,54586394.0,-5056875.0,,,current
birt,2428239.0,888206.0,10570974.0,3611701.0,6959273.0,,,prior
birt,30261265.0,36245313.0,60100493.0,58198095.0,1902398.0,609608507.0,8.97,total
sales,16149234.0,14923648.0,88916563.0,85750558.0,3166005.0,218168437.0,28.96,total
amusement,7457702.0,2178155.0,14542860.0,12005741.0,2537119.0,18861140.0,43.54,total
tobacco,717.0,2836.0,6686.0,50414.0,-43728.0,1105314.0,0.6,total
parking,-188953.0,7919425.0,,23729405.0,,,,total
valet,,116199.0,,478817.0,,,,total
real_estate_transfer,23780685.0,48668705.0,77272507.0,153353969.0,-76081461.0,311657493.0,19.87,total
outdoor_ads,301628.0,360049.0,829206.0,877666.0,-48460.0,2991794.0,21.7,total
soda,5944532.0,6129388.0,18092968.0,17055119.0,1037849.0,,,current
soda,402773.0,133737.0,467706.0,297773.0,169933.0,,,prior
soda,6347305.0,6263125.0,18560674.0,17352892.0,1207782.0,54940326.0,25.25,total
construction_impact,291199.0,551834.0,412574.0,713991.0,-301417.0,3087426.0,11.79,total
other_taxes,607464.0,-50084.0,-228697.0,128830.0,-357528.0,303697.0,-304.93,total
all_taxes,224068245.0,230267605.0,708968721.0,773105782.0,-64137061.0,3432237279.0,17.12,total
