name,oct_fy24,oct_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,8420439.0,1321212.0,22044065.0,20045468.0,1998597.0,795139935.0,2.7,current
real_estate,1913956.0,2277031.0,8006656.0,10997170.0,-2990514.0,20692344.0,27.9,prior
real_estate,10334395.0,3598243.0,30050721.0,31042638.0,-991917.0,815832279.0,3.55,total
wage_city,172540579.0,185518398.0,603788082.0,589515137.0,14272945.0,1145957918.0,34.51,current
wage_city,2159501.0,-1500086.0,-7025335.0,-20861857.0,13836522.0,10425335.0,-206.63,prior
wage_city,174700080.0,184018312.0,596762747.0,568653280.0,28109467.0,1156383253.0,34.04,total
wage_pica,61485102.0,62990311.0,214545406.0,206078939.0,8466467.0,405255451.0,34.62,current
wage_pica,230664.0,-496347.0,355183.0,-6902751.0,7257934.0,1719459.0,17.12,prior
wage_pica,61715766.0,62493964.0,214900589.0,199176188.0,15724401.0,406974910.0,34.56,total
wage,236415846.0,246512276.0,811663336.0,767829468.0,43833868.0,1563358163.0,34.17,total
earnings_city,1153107.0,575329.0,1638510.0,1645300.0,-6790.0,10361490.0,13.65,current
earnings_city,244667.0,106805.0,1453214.0,977569.0,475645.0,546786.0,72.66,prior
earnings_city,1397774.0,682134.0,3091724.0,2622869.0,468855.0,10908276.0,22.08,total
earnings_pica,793466.0,327936.0,1760187.0,946106.0,814081.0,4365705.0,28.73,current
earnings_pica,,58989.0,,539918.0,-539918.0,2500609.0,0.0,prior
earnings_pica,793466.0,386925.0,1760187.0,1486024.0,274163.0,6866314.0,20.4,total
earnings,2191240.0,1069059.0,4851911.0,4108893.0,743018.0,17774590.0,21.44,total
net_profits_city,2646935.0,3188559.0,4515266.0,8833027.0,-4317761.0,37824734.0,10.66,current
net_profits_city,2061853.0,223401.0,5276435.0,1024238.0,4252197.0,-576435.0,112.26,prior
net_profits_city,4708788.0,3411960.0,9791701.0,9857265.0,-65564.0,37248299.0,20.82,total
net_profits_pica,4215922.0,3050047.0,9465103.0,8397835.0,1067268.0,27729572.0,25.45,current
net_profits_pica,309.0,202612.0,562.0,928924.0,-928362.0,7398763.0,0.01,prior
net_profits_pica,4216231.0,3252659.0,9465665.0,9326759.0,138906.0,35128335.0,21.23,total
net_profits,8925019.0,6664619.0,19257366.0,19184024.0,73342.0,72376634.0,21.02,total
wage_earnings_net_profits,247532105.0,254245954.0,835772613.0,791122385.0,44650228.0,1653509387.0,33.57,total
wage_earnings_net_profits_pica,66725463.0,66133548.0,226126441.0,209988971.0,16137470.0,448969559.0,33.5,total
wage_earnings_net_profits_city,180806642.0,188112406.0,609646172.0,581133414.0,28512758.0,1204539828.0,33.6,total
birt,24963591.0,29969271.0,74493110.0,84555665.0,-10062555.0,560215890.0,11.74,current
birt,9909113.0,1837171.0,20480087.0,5448872.0,15031215.0,14519913.0,58.51,prior
birt,34872704.0,31806442.0,94973197.0,90004537.0,4968660.0,574735803.0,14.18,total
sales,,16360012.0,88916563.0,102110570.0,-13194007.0,218168437.0,28.96,total
amusement,3289478.0,2172181.0,17832338.0,14177923.0,3654415.0,15571662.0,53.38,total
tobacco,4805.0,1620.0,11491.0,52034.0,-40543.0,1100509.0,1.03,total
parking,,7519593.0,,31248999.0,,,,total
valet,,169268.0,,648085.0,,,,total
real_estate_transfer,20700587.0,39045380.0,97973094.0,192399349.0,-94426255.0,290956906.0,25.19,total
outdoor_ads,253432.0,270080.0,1082638.0,1147746.0,-65108.0,2738362.0,28.33,total
soda,5857482.0,7041356.0,23950450.0,24096475.0,-146025.0,,,current
soda,47204.0,153756.0,514910.0,451529.0,63381.0,,,prior
soda,5904686.0,7195112.0,24465360.0,24548004.0,-82644.0,49035640.0,33.29,total
construction_impact,276389.0,201994.0,688963.0,915985.0,-227022.0,2811037.0,19.68,total
other_taxes,850221.0,6216129.0,621524.0,6344959.0,-5723435.0,-546524.0,828.7,total
all_taxes,257293339.0,302668460.0,966262061.0,1075774243.0,-109512182.0,3174943939.0,23.33,total
