name,nov_fy24,nov_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,16695.0,834660.0,7000596.0,5168085.0,1832511.0,,
traffic_fines,207482.0,203257.0,857595.0,908130.0,-50535.0,,
other_fines,577047.0,1018901.0,3585297.0,4379675.0,-794377.0,,
reimbursements,3434855.0,3208824.0,22650521.0,19877419.0,2773102.0,,
asset_sales,,,328961.0,571451.0,-242490.0,,
payments_in_lieu_of_taxes,38435.0,,597032.0,1039317.0,-442285.0,,
cable_television,2589518.0,4266794.0,6825748.0,8809941.0,-1984193.0,,
emergency_medical_services,1556826.0,587061.0,18018424.0,15873158.0,2145266.0,,
commercial_trash_fee,3433196.0,4272999.0,6979872.0,7442551.0,-462679.0,,
interest_earnings,11792685.0,5985662.0,67277814.0,27440486.0,39837328.0,,
licenses_and_inspection_fees,5629853.0,4809668.0,29910313.0,25506432.0,4403881.0,,
streets,155639.0,685365.0,506407.0,5350276.0,-4843869.0,,
health,2846371.0,2744933.0,16810537.0,22520366.0,-5709829.0,,
sheriff,-5637.0,,1493293.0,-7506.0,1500799.0,,
records,1189608.0,1159532.0,6446225.0,7531313.0,-1085088.0,,
court_related_costs,2167917.0,1837659.0,9915406.0,9936223.0,-20817.0,,
miscellaneous,1539623.0,7447112.0,7526057.0,13818687.0,-6292630.0,,
total_local_nontax_revenue,37170113.0,39062427.0,206730098.0,176166003.0,30564095.0,180002902.0,53.46
