name,nov_fy24,nov_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,5099972.0,3750560.0,27144037.0,23796028.0,3348009.0,790039963.0,3.32,current
real_estate,1670063.0,1675834.0,9676718.0,12673004.0,-2996286.0,19022282.0,33.72,prior
real_estate,6770035.0,5426394.0,36820755.0,36469032.0,351723.0,809062245.0,4.35,total
wage_city,142278417.0,137332523.0,746066499.0,726847660.0,19218839.0,1003679501.0,42.64,current
wage_city,-4312960.0,-6903865.0,-11338294.0,-27765722.0,16427428.0,14738294.0,-333.48,prior
wage_city,137965457.0,130428658.0,734728205.0,699081938.0,35646267.0,1018417795.0,41.91,total
wage_pica,49888898.0,47991347.0,264434304.0,254070286.0,10364018.0,355366553.0,42.66,current
wage_pica,-494831.0,-2284344.0,-139648.0,-9187095.0,9047447.0,2214290.0,-6.73,prior
wage_pica,49394067.0,45707003.0,264294656.0,244883191.0,19411465.0,357580843.0,42.5,total
wage,187359524.0,176135661.0,999022861.0,943965129.0,55057732.0,1375998638.0,42.06,total
earnings_city,487314.0,406379.0,2125823.0,2051679.0,74144.0,9874177.0,17.72,current
earnings_city,337070.0,155022.0,1790284.0,1132591.0,657693.0,209716.0,89.51,prior
earnings_city,824384.0,561401.0,3916107.0,3184270.0,731837.0,10083893.0,27.97,total
earnings_pica,472361.0,232280.0,2232548.0,1178386.0,1054162.0,3893344.0,36.44,current
earnings_pica,193.0,85619.0,193.0,625538.0,-625345.0,2500416.0,0.01,prior
earnings_pica,472554.0,317899.0,2232741.0,1803924.0,428817.0,6393760.0,25.88,total
earnings,1296938.0,879300.0,6148848.0,4988194.0,1160654.0,16477653.0,27.18,total
net_profits_city,-34567.0,631929.0,4480700.0,9464956.0,-4984256.0,37859300.0,10.58,current
net_profits_city,628936.0,229191.0,5905371.0,1253429.0,4651942.0,-1205371.0,125.65,prior
net_profits_city,594369.0,861120.0,10386071.0,10718385.0,-332314.0,36653929.0,22.08,total
net_profits_pica,1205728.0,594119.0,10670831.0,8991953.0,1678878.0,26523844.0,28.69,current
net_profits_pica,96.0,207863.0,658.0,1136787.0,-1136129.0,7398667.0,0.01,prior
net_profits_pica,1205824.0,801982.0,10671489.0,10128740.0,542749.0,33922511.0,23.93,total
net_profits,1800193.0,1663102.0,21057560.0,20847125.0,210435.0,70576440.0,22.98,total
wage_earnings_net_profits,190456655.0,178678063.0,1026229269.0,969800448.0,56428821.0,1463052731.0,41.23,total
wage_earnings_net_profits_pica,51072445.0,46826884.0,277198886.0,256815855.0,20383031.0,397897114.0,41.06,total
wage_earnings_net_profits_city,139384210.0,131851179.0,749030383.0,712984593.0,36045790.0,1065155617.0,41.29,total
birt,-1213998.0,10144449.0,73279112.0,94700114.0,-21421002.0,561429888.0,11.55,current
birt,-7396176.0,1631990.0,13083912.0,7080862.0,6003050.0,21916088.0,37.38,prior
birt,-8610174.0,11776439.0,86363024.0,101780976.0,-15417952.0,583345976.0,12.9,total
sales,34486503.0,17505583.0,123403066.0,119616153.0,3786913.0,183681934.0,40.19,total
amusement,3853200.0,1730938.0,21685538.0,15908861.0,5776677.0,11718462.0,64.92,total
tobacco,1331.0,15919.0,12822.0,67953.0,-55131.0,1099178.0,1.15,total
parking,,9052267.0,,40301265.0,,,,total
valet,,186488.0,,834574.0,,,,total
real_estate_transfer,18373455.0,31577356.0,116346549.0,223976705.0,-107630156.0,272583451.0,29.91,total
outdoor_ads,375221.0,381559.0,1457859.0,1529305.0,-71446.0,2363141.0,38.15,total
soda,5354385.0,5740211.0,29304836.0,29836686.0,-531850.0,,,current
soda,20386.0,30279.0,535296.0,481808.0,53488.0,,,prior
soda,5374771.0,5770490.0,29840132.0,30318494.0,-478362.0,43660868.0,40.6,total
construction_impact,390690.0,312752.0,1079654.0,1228737.0,-149083.0,2420346.0,30.85,total
other_taxes,-98943.0,55358.0,522581.0,6400316.0,-5877735.0,-447581.0,696.77,total
all_taxes,200300299.0,215642722.0,1166562363.0,1291416964.0,-124854601.0,2974643637.0,28.17,total
