name,dec_fy24,dec_fy23,fy24_ytd,fy23_ytd,net_change,budget_requirement,pct_budgeted
revenue_from_private_sources,16695.0,84115.0,7017291.0,5252200.0,1765091.0,,
traffic_fines,192318.0,186362.0,1049912.0,1094491.0,-44579.0,,
other_fines,587864.0,688353.0,4173161.0,5068028.0,-894867.0,,
reimbursements,1860733.0,-45908.0,24511254.0,19831512.0,4679742.0,,
asset_sales,228397.0,,557358.0,571451.0,-14093.0,,
payments_in_lieu_of_taxes,43749.0,,640780.0,1039317.0,-398537.0,,
cable_television,1372814.0,,8198563.0,8809941.0,-611378.0,,
emergency_medical_services,2191157.0,1164921.0,20209580.0,17038080.0,3171501.0,,
commercial_trash_fee,4259807.0,4784776.0,11239678.0,12227327.0,-987648.0,,
interest_earnings,10046084.0,6969315.0,77323898.0,34409800.0,42914098.0,,
licenses_and_inspection_fees,5448593.0,5789618.0,35358906.0,31296049.0,4062856.0,,
streets,142908.0,905053.0,649314.0,6255329.0,-5606014.0,,
health,2160802.0,4115415.0,18971340.0,26635781.0,-7664442.0,,
sheriff,-21163.0,,1472130.0,-7506.0,1479636.0,,
records,1142499.0,1387232.0,7588724.0,8918545.0,-1329820.0,,
court_related_costs,2347736.0,1660485.0,12263142.0,11596708.0,666434.0,,
miscellaneous,3105315.0,512223.0,10631372.0,14330910.0,-3699539.0,,
total_local_nontax_revenue,35126307.0,28201960.0,241856404.0,204367962.0,37488442.0,144876596.0,62.54
