category,fiscal_month,amount
general,1,1809.6
grants_revenue,1,905.4
community_development,1,-29.5
vehicle_rental_tax,1,8.5
hospital_assessment_fund,1,21.3
housing_trust_fund,1,86.8
transportation_fund,1,6.6
budget_stabilization_fund,1,65.1
other_funds,1,17.5
total_operating_funds,1,2891.4
capital_improvement,1,423.9
industrial_and_commercial_dev,1,10.6
total_capital_funds,1,434.5
total_fund_equity,1,3325.8
general,2,1777.9
grants_revenue,2,898.9
community_development,2,-26.1
vehicle_rental_tax,2,9.3
hospital_assessment_fund,2,20.3
housing_trust_fund,2,113.9
transportation_fund,2,12.1
budget_stabilization_fund,2,65.1
other_funds,2,17.4
total_operating_funds,2,2888.9
capital_improvement,2,353.1
industrial_and_commercial_dev,2,10.6
total_capital_funds,2,363.7
total_fund_equity,2,3252.6
general,3,1777.4
grants_revenue,3,1015.9
community_development,3,-11.0
vehicle_rental_tax,3,3.1
hospital_assessment_fund,3,45.2
housing_trust_fund,3,114.5
transportation_fund,3,16.5
budget_stabilization_fund,3,107.4
other_funds,3,17.2
total_operating_funds,3,3086.2
capital_improvement,3,342.4
industrial_and_commercial_dev,3,10.7
total_capital_funds,3,353.0
total_fund_equity,3,3439.2
general,4,1640.0
grants_revenue,4,1054.9
community_development,4,-12.1
vehicle_rental_tax,4,3.7
hospital_assessment_fund,4,22.0
housing_trust_fund,4,114.6
transportation_fund,4,20.8
budget_stabilization_fund,4,107.4
other_funds,4,17.2
total_operating_funds,4,2968.5
capital_improvement,4,331.3
industrial_and_commercial_dev,4,10.7
total_capital_funds,4,342.0
total_fund_equity,4,3310.5
general,5,1626.8
grants_revenue,5,946.2
community_development,5,-3.0
vehicle_rental_tax,5,4.4
hospital_assessment_fund,5,21.5
housing_trust_fund,5,116.0
transportation_fund,5,15.1
budget_stabilization_fund,5,107.4
other_funds,5,17.1
total_operating_funds,5,2851.6
capital_improvement,5,298.7
industrial_and_commercial_dev,5,10.8
total_capital_funds,5,309.4
total_fund_equity,5,3161.0
general,6,1536.6
grants_revenue,6,948.1
community_development,6,-4.4
vehicle_rental_tax,6,5.0
hospital_assessment_fund,6,41.8
housing_trust_fund,6,116.1
transportation_fund,6,13.1
budget_stabilization_fund,6,107.4
other_funds,6,17.2
total_operating_funds,6,2780.9
capital_improvement,6,295.0
industrial_and_commercial_dev,6,10.8
total_capital_funds,6,305.9
total_fund_equity,6,3086.7
general,7,1948.4
grants_revenue,7,547.2
community_development,7,-4.3
vehicle_rental_tax,7,5.5
hospital_assessment_fund,7,18.4
housing_trust_fund,7,116.6
transportation_fund,7,20.2
budget_stabilization_fund,7,107.4
other_funds,7,17.6
total_operating_funds,7,2776.9
capital_improvement,7,294.9
industrial_and_commercial_dev,7,10.9
total_capital_funds,7,305.8
total_fund_equity,7,3082.7
general,8,1880.3
grants_revenue,8,508.9
community_development,8,-0.3
vehicle_rental_tax,8,4.7
hospital_assessment_fund,8,19.9
housing_trust_fund,8,114.5
transportation_fund,8,18.2
budget_stabilization_fund,8,107.4
other_funds,8,17.4
total_operating_funds,8,2670.9
capital_improvement,8,279.9
industrial_and_commercial_dev,8,10.9
total_capital_funds,8,290.8
total_fund_equity,8,2961.7
general,9,1518.2
grants_revenue,9,468.8
community_development,9,-0.8
vehicle_rental_tax,9,5.3
hospital_assessment_fund,9,25.8
housing_trust_fund,9,112.4
transportation_fund,9,16.2
budget_stabilization_fund,9,107.4
other_funds,9,17.2
total_operating_funds,9,2270.5
capital_improvement,9,278.6
industrial_and_commercial_dev,9,10.9
total_capital_funds,9,289.5
total_fund_equity,9,2560.0
general,10,1931.5
grants_revenue,10,593.9
community_development,10,3.3
vehicle_rental_tax,10,5.9
hospital_assessment_fund,10,21.7
housing_trust_fund,10,110.3
transportation_fund,10,14.2
budget_stabilization_fund,10,107.4
other_funds,10,17.0
total_operating_funds,10,2805.1
capital_improvement,10,263.6
industrial_and_commercial_dev,10,11.0
total_capital_funds,10,274.6
total_fund_equity,10,3079.7
general,11,1853.2
grants_revenue,11,540.5
community_development,11,1.4
vehicle_rental_tax,11,6.5
hospital_assessment_fund,11,50.6
housing_trust_fund,11,108.2
transportation_fund,11,12.2
budget_stabilization_fund,11,107.4
other_funds,11,16.8
total_operating_funds,11,2696.7
capital_improvement,11,248.6
industrial_and_commercial_dev,11,11.0
total_capital_funds,11,259.6
total_fund_equity,11,2956.3
general,12,1616.6
grants_revenue,12,473.4
community_development,12,0.0
vehicle_rental_tax,12,7.1
hospital_assessment_fund,12,24.7
housing_trust_fund,12,106.1
transportation_fund,12,6.2
budget_stabilization_fund,12,107.4
other_funds,12,16.6
total_operating_funds,12,2358.0
capital_improvement,12,328.6
industrial_and_commercial_dev,12,11.0
total_capital_funds,12,339.6
total_fund_equity,12,2697.6
