category,fiscal_month,amount
excess_of_receipts_over_disbursements,1,7.3
opening_balance,1,1802.2
tran,1,0.0
closing_balance,1,1809.6
excess_of_receipts_over_disbursements,2,-31.7
opening_balance,2,1809.6
tran,2,0.0
closing_balance,2,1777.9
excess_of_receipts_over_disbursements,3,-0.5
opening_balance,3,1777.9
tran,3,0.0
closing_balance,3,1777.4
excess_of_receipts_over_disbursements,4,-137.5
opening_balance,4,1777.4
tran,4,0.0
closing_balance,4,1640.0
excess_of_receipts_over_disbursements,5,-94.0
opening_balance,5,1640.0
tran,5,0.0
closing_balance,5,1546.0
excess_of_receipts_over_disbursements,6,-286.8
opening_balance,6,1546.0
tran,6,0.0
closing_balance,6,1259.2
excess_of_receipts_over_disbursements,7,56.9
opening_balance,7,1259.2
tran,7,0.0
closing_balance,7,1316.1
excess_of_receipts_over_disbursements,8,-0.7
opening_balance,8,1316.1
tran,8,0.0
closing_balance,8,1315.4
excess_of_receipts_over_disbursements,9,114.6
opening_balance,9,1315.4
tran,9,0.0
closing_balance,9,1430.0
excess_of_receipts_over_disbursements,10,430.8
opening_balance,10,1430.0
tran,10,0.0
closing_balance,10,1860.8
excess_of_receipts_over_disbursements,11,-54.9
opening_balance,11,1860.8
tran,11,0.0
closing_balance,11,1805.9
excess_of_receipts_over_disbursements,12,-126.4
opening_balance,12,1805.9
tran,12,0.0
closing_balance,12,1679.5
