full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
118,9311029,39619,2021,Actual,Full Year,Auditing (City Controller's Office),2021-06-30,City Controller's Office,61,
109,9523506,58666,2022,Actual,Full Year,Auditing (City Controller's Office),2022-06-30,City Controller's Office,61,
110,9092764,60074,2023,Actual,Full Year,Auditing (City Controller's Office),2023-06-30,City Controller's Office,61,
135,10599672,80000,2024,Adopted Budget,Full Year,Auditing (City Controller's Office),2024-06-30,City Controller's Office,61,
135,10399672,80000,2024,Target Budget,Full Year,Auditing (City Controller's Office),2024-06-30,City Controller's Office,61,
113,10399672,57999,2024,Current Projection,Full Year,Auditing (City Controller's Office),2024-06-30,City Controller's Office,61,
9,801988,0,2021,Actual,Full Year,Board of Ethics,2021-06-30,Board of Ethics,45,
9,848155,0,2022,Actual,Full Year,Board of Ethics,2022-06-30,Board of Ethics,45,
10,932874,0,2023,Actual,Full Year,Board of Ethics,2023-06-30,Board of Ethics,45,
14,1322433,0,2024,Adopted Budget,Full Year,Board of Ethics,2024-06-30,Board of Ethics,45,
14,1322433,0,2024,Target Budget,Full Year,Board of Ethics,2024-06-30,Board of Ethics,45,
10,1322433,0,2024,Current Projection,Full Year,Board of Ethics,2024-06-30,Board of Ethics,45,
15,1002561,45,2021,Actual,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,63,BRT
14,988226,1801,2022,Actual,Full Year,Board of Revision of Taxes,2022-06-30,Board of Revision of Taxes,63,BRT
15,1012612,1824,2023,Actual,Full Year,Board of Revision of Taxes,2023-06-30,Board of Revision of Taxes,63,BRT
16,1089023,0,2024,Adopted Budget,Full Year,Board of Revision of Taxes,2024-06-30,Board of Revision of Taxes,63,BRT
16,1109023,3500,2024,Target Budget,Full Year,Board of Revision of Taxes,2024-06-30,Board of Revision of Taxes,63,BRT
17,1109023,843,2024,Current Projection,Full Year,Board of Revision of Taxes,2024-06-30,Board of Revision of Taxes,63,BRT
137,8293480,1531588,2021,Actual,Full Year,City Commissioners (Election Board),2021-06-30,City Commissioner's Office,73,City Commissioners
134,7768164,1230728,2022,Actual,Full Year,City Commissioners (Election Board),2022-06-30,City Commissioner's Office,73,City Commissioners
146,9116587,1649718,2023,Actual,Full Year,City Commissioners (Election Board),2023-06-30,City Commissioner's Office,73,City Commissioners
187,11193816,1594599,2024,Adopted Budget,Full Year,City Commissioners (Election Board),2024-06-30,City Commissioner's Office,73,City Commissioners
187,11193816,1594599,2024,Target Budget,Full Year,City Commissioners (Election Board),2024-06-30,City Commissioner's Office,73,City Commissioners
159,11193816,1650637,2024,Current Projection,Full Year,City Commissioners (Election Board),2024-06-30,City Commissioner's Office,73,City Commissioners
182,14051449,245,2021,Actual,Full Year,City Council,2021-06-30,City Council,01,
175,14383873,0,2022,Actual,Full Year,City Council,2022-06-30,City Council,01,
164,14095159,0,2023,Actual,Full Year,City Council,2023-06-30,City Council,01,
185,16700583,0,2024,Adopted Budget,Full Year,City Council,2024-06-30,City Council,01,
185,18700583,0,2024,Target Budget,Full Year,City Council,2024-06-30,City Council,01,
198,18700583,0,2024,Current Projection,Full Year,City Council,2024-06-30,City Council,01,
16,1230203,56626,2021,Actual,Full Year,City Treasurer,2021-06-30,Office of the City Treasurer,40,City Treasurer
